property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
160 Corporate Ct,,B,Existing,241333,,$9.41 - 11.50 (Est.),Distribution,Meriden,100.0,1987.0,2019.0,241333.0,1.24,"27'0""",50'w x 43'd,53.0,2000a/277-480v 3p,,City,,,,0,"2/10'0""w x 12'0""h",Wet,City,258.0,41.5119506,-72.7615426,CT,CT.csv,27,T4-CT-00027,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"160 Corporate Ct, Meriden, CT",False,09170,South Central Connecticut,CT,40,16697.35913819854,CT
120 Countyline Dr,,A,Existing,403000,,$8.22 - 10.05 (Est.),Distribution,Cromwell,100.0,2019.0,,403000.0,0.81,"32'0""",50'w x 60'd,50.0,3000a/277-480v,,,2025 Tax @ $2.5287/sf,,,0,2,ESFR,City,327.0,41.6308177,-72.6847722,CT,CT.csv,28,T4-CT-00028,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"120 Countyline Dr, Cromwell, CT",False,09130,Lower Connecticut River Valley,CT,40,5416.948488381647,CT
280 Dividend Rd,,B,Existing,200000,,$7.64 - 9.34 (Est.),Distribution,Rocky Hill,100.0,1979.0,,200000.0,0.7,,,6.0,,,,2025 Tax @ $1.2410/sf,,,0,"7/20'0""w x 12'0""h",,,100.0,41.6486,-72.63334,CT,CT.csv,29,T4-CT-00029,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"280 Dividend Rd, Rocky Hill, CT",False,09110,Capitol,CT,39,28591.130644048382,CT
360 Dr Martin Luther King Jr Dr,Bldg 1-9,B,Existing,218706,,$12.32 - 15.05 (Est.),Warehouse,Norwalk,100.0,1975.0,,122285.0,,"41'0""",,15.0,,,,2025 Tax @ $0.9233/sf,,,0,4,,,,41.0775447,-73.4296916,CT,CT.csv,30,T4-CT-00030,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Bldg 1-9,False,09190,Western Connecticut,CT,0,16938.064252715645,CT
11 Edmund Rd,,B,Existing,211576,,$10.30 - 12.59 (Est.),Warehouse,Newtown,100.0,1973.0,,211576.0,0.95,"25'0""",40'w x 42'd,17.0,1200a/480v 3p,,City,2025 Tax @ $0.7206/sf,,,0,1,Wet,City,200.0,41.424756,-73.307387,CT,CT.csv,31,T4-CT-00031,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"11 Edmund Rd, Newtown, CT",False,09190,Western Connecticut,CT,0,16938.064252715645,CT
295 Ella Grasso Tpke,Bradley Airport Industrial Park,B,Existing,450560,216732.0,$5.09 - 6.22 (Est.),Warehouse,Windsor Locks,100.0,1963.0,,450560.0,0.58,"16'6""",40'w x 40'd,12.0,4000a/277-480v 3p,,City,2024 Tax @ $0.6195/sf,,216732.0,0,"7/12'0""w x 14'0""h",Wet,City,260.0,41.9357042,-72.6687161,CT,CT.csv,32,T4-CT-00032,existing,True,False,direct_existing_facility,216732.0,True,True,True,True,Bradley Airport Industrial Park,True,09110,Capitol,CT,39,28591.130644048382,CT
359 Ellington Rd,I-291 Logistics Center West,A,Existing,200000,,$8.12 - 9.92 (Est.),Distribution,South Windsor,100.0,2020.0,,200000.0,0.67,"32'0""",50'w x 50'd,40.0,3000a/480v 3p,,Yes,2024 Tax @ $2.6406/sf,,,0,"2/12'0""w x 12'0""h",ESFR,Yes,130.0,41.805979,-72.604742,CT,CT.csv,33,T4-CT-00033,existing,True,False,direct_existing_facility,0.0,False,False,True,True,I-291 Logistics Center West,False,09110,Capitol,CT,39,28591.130644048382,CT
21 Ethan Allen Rd,,C,Existing,376080,,$10.76 - 13.15 (Est.),Warehouse,Newtown,100.0,1997.0,,188040.0,,"30'0""",,7.0,,,City,2025 Tax @ $0.3941/sf,,,0,11,,City,,41.380874,-73.275929,CT,CT.csv,34,T4-CT-00034,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"21 Ethan Allen Rd, Newtown, CT",False,09190,Western Connecticut,CT,0,16938.064252715645,CT
14 Executive Dr,,B,Existing,279236,,$10.23 - 12.50 (Est.),Warehouse,Danbury,100.0,1969.0,,279236.0,,,,,,,,2025 Tax @ $0.9749/sf,,,0,,,,,41.413972,-73.417261,CT,CT.csv,35,T4-CT-00035,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"14 Executive Dr, Danbury, CT",False,09190,Western Connecticut,CT,0,16938.064252715645,CT
65-145 Furniture Row,,B,Existing,209802,,$6.90 - 8.43 (Est.),Warehouse,Milford,100.0,1965.0,1971.0,209802.0,0.25,"18'0""",,4.0,3100a 3p,,City,2025 Tax @ $0.0420/sf,,,0,,Wet,City,50.0,41.2275638,-73.0286969,CT,CT.csv,36,T4-CT-00036,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"65-145 Furniture Row, Milford, CT",False,09170,South Central Connecticut,CT,40,16697.35913819854,CT
