property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
3102 Blaine Blvd,,C,Existing,101565,,$7.80 - 9.53 (Est.),Warehouse,Charleston,100.0,,,101565.0,0.49,,,,,,,2024 Tax @ $0.0333/sf,,,0,,,,50.0,38.3741822,-81.686947,WV,WV.csv,23,T4-WV-00023,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"3102 Blaine Blvd, Charleston, WV",False,54039,Kanawha,WV,28,7046.560946958108,WV
100 Bluefield Ave,,B,Existing,102700,,$8.14 - 9.95 (Est.),Distribution,Bluefield,100.0,1989.0,,102700.0,0.58,"26'0""",23'w x 45'd,,,,,2025 Tax @ $0.5409/sf,,,0,,,,60.0,37.26836,-81.227649,WV,WV.csv,24,T4-WV-00024,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"100 Bluefield Ave, Bluefield, WV",False,54055,Mercer,WV,28,2060.9502578806746,WV
1642 Bluefield Ave,The Freight Station,C,Existing,153601,,$7.96 - 9.73 (Est.),Warehouse,Bluefield,100.0,,,87273.0,,,,9.0,,,,,,,0,,,,30.0,37.261803,-81.243457,WV,WV.csv,25,T4-WV-00025,existing,True,False,direct_existing_facility,0.0,False,False,True,True,The Freight Station,False,54055,Mercer,WV,28,2060.9502578806746,WV
3301 Camden Ave,,C,Existing,222150,,$10.69 - 13.06 (Est.),Warehouse,Parkersburg,100.0,1920.0,,222150.0,,,,16.0,,,,2025 Tax @ $0.0234/sf,,,0,,,,30.0,39.251475,-81.5360324,WV,WV.csv,26,T4-WV-00026,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"3301 Camden Ave, Parkersburg, WV",False,54107,Wood,WV,42,3676.469095439795,WV
4301 Camden Ave,Peoples Cartage Building 4,C,Existing,136888,,$10.77 - 13.17 (Est.),Warehouse,Parkersburg,100.0,1920.0,,136888.0,,,,37.0,,,,2025 Tax @ $0.1228/sf,,,0,,,,50.0,39.239313,-81.526,WV,WV.csv,27,T4-WV-00027,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Peoples Cartage Building 4,False,54107,Wood,WV,42,3676.469095439795,WV
4301 Camden Ave,Peoples Cartage Building 3,C,Existing,133798,,$10.77 - 13.17 (Est.),Warehouse,Parkersburg,100.0,1920.0,,133798.0,,,,,,,,2025 Tax @ $0.1228/sf,,,0,,,,,39.2384086,-81.5245169,WV,WV.csv,28,T4-WV-00028,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Peoples Cartage Building 3,False,54107,Wood,WV,42,3676.469095439795,WV
4301 Camden Ave,Peoples Cartage Building 9B,C,Existing,101376,,$10.78 - 13.18 (Est.),Warehouse,Parkersburg,100.0,1920.0,,101376.0,,,,,,,,2025 Tax @ $0.1228/sf,,,0,,,,,39.2393854,-81.5202467,WV,WV.csv,29,T4-WV-00029,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Peoples Cartage Building 9B,False,54107,Wood,WV,42,3676.469095439795,WV
4301 Camden Ave,Peoples Cartage Building 8,C,Existing,101136,,$10.78 - 13.18 (Est.),Warehouse,Parkersburg,100.0,1920.0,,101136.0,,,,,,,,2025 Tax @ $0.1228/sf,,,0,,,,,39.2402261,-81.52076,WV,WV.csv,30,T4-WV-00030,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Peoples Cartage Building 8,False,54107,Wood,WV,42,3676.469095439795,WV
2900-2908 Charles Ave,Dunbar Storage 1 & 2,B,Existing,139935,,$5.48 - 6.69 (Est.),Distribution,Dunbar,100.0,1962.0,,139935.0,0.71,"22'0""",24'w x 48'd,18.0,3p,,City,,,,0,2,Dry,City,100.0,38.3695745,-81.7595299,WV,WV.csv,31,T4-WV-00031,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Dunbar Storage 1 & 2,False,54039,Kanawha,WV,28,7046.560946958108,WV
1700 Charles St,,B,Existing,112679,,$5.96 - 7.28 (Est.),Warehouse,Wellsburg,100.0,,,56339.0,0.89,"36'0""",,5.0,480v 3p,Norfolk Southern,Yes,2025 Tax @ $0.0079/sf,,,0,,,Yes,100.0,40.280523,-80.6096351,WV,WV.csv,32,T4-WV-00032,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1700 Charles St, Wellsburg, WV",False,54009,Brooke,WV,42,1025.2713473277154,WV
69 Clendening Dr,,A,Existing,176046,,$5.75 - 7.02 (Est.),Warehouse,Kearneysville,100.0,1994.0,,173400.0,1.73,"37'0""",36'w x 36'd,17.0,2000a/480v 3p,,,2025 Tax @ $0.7007/sf,,,0,"3/9'0""w x 9'0""h",Wet,,300.0,39.3557992,-77.8729112,WV,WV.csv,33,T4-WV-00033,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"69 Clendening Dr, Kearneysville, WV",False,54037,Jefferson,WV,8,1760.5272233779274,WV
