property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
84 Harbor Dr,,B,Existing,400000,,$13.57 - 16.59 (Est.),Warehouse,Jersey City,100.0,1999.0,,400000.0,,,,,,CSX,,,,,0,,,,,40.6828145,-74.0917337,NY,NY.csv,109,T4-NY-00109,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"84 Harbor Dr, Jersey City, NY",False,34017,Hudson,NJ,9,23587.807365827575,NJ
100 Harbor Dr,Port Jersey Logistics Center,B,Existing,266000,,$12.67 - 15.49 (Est.),Warehouse,Jersey City,100.0,1972.0,,266000.0,0.21,"20'0""",42'w x 44'd,7.0,400a,,City,2024 Tax @ $1.7927/sf,,,0,,Wet,City,54.0,40.6820957,-74.0932042,NY,NY.csv,110,T4-NY-00110,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Port Jersey Logistics Center,False,34017,Hudson,NJ,9,23587.807365827575,NJ
936 Harrison Ave,Kearny Logistics Center,A,Existing,211340,,$14.26 - 17.43 (Est.),Distribution,Kearny,100.0,2024.0,,211340.0,1.19,"38'0""",56'w x 53'd,41.0,3000a/480v,,,2024 Tax @ $0.9385/sf,,,0,,ESFR,,315.0,40.7491529,-74.1419812,NY,NY.csv,111,T4-NY-00111,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Kearny Logistics Center,False,34017,Hudson,NJ,9,23587.807365827575,NJ
1200 Harrison Ave,,A,Existing,400206,,$13.53 - 16.53 (Est.),Warehouse,Kearny,100.0,1992.0,,400206.0,0.25,"33'0""",25'w x 25'd,66.0,800a,,City,,,,0,2,Wet,City,,40.7506582,-74.1379211,NY,NY.csv,112,T4-NY-00112,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1200 Harrison Ave, Kearny, NY",False,34017,Hudson,NJ,9,23587.807365827575,NJ
330 Highland Ave,,C,Existing,200000,,$12.36 - 15.10 (Est.),Warehouse,Clifton,100.0,1910.0,,66667.0,,,,,,,,2024 Tax @ $0.0462/sf,,,0,,,,,40.8691122,-74.1409085,NY,NY.csv,113,T4-NY-00113,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"330 Highland Ave, Clifton, NY",False,34031,Passaic,NJ,7,18875.030509359214,NJ
22 Hollywood Ave,,B,Existing,215789,,$13.05 - 15.95 (Est.),Warehouse,Ho-Ho-Kus,100.0,1956.0,2017.0,102500.0,0.09,"18'0""",30'w x 20'd,16.0,600a,,,2024 Tax @ $1.7066/sf,,,0,"1/13'0""w x 17'0""h",Wet,,60.0,41.0042942,-74.1173851,NY,NY.csv,114,T4-NY-00114,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"22 Hollywood Ave, Ho-Ho-Kus, NY",False,34003,Bergen,NJ,9,40572.76221834727,NJ
51-53 Hook Rd,,B,Existing,284449,,$13.36 - 16.33 (Est.),Distribution,Bayonne,100.0,1968.0,,284449.0,0.14,"20'0""",40'w x 34'd,34.0,800a/120-208v 3p 4w,,City,2024 Tax @ $3.3738/sf,,,0,,,City,40.0,40.6594736,-74.0975039,NY,NY.csv,115,T4-NY-00115,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"51-53 Hook Rd, Bayonne, NY",False,34017,Hudson,NJ,9,23587.807365827575,NJ
63 Hook Rd,Bridge Point Bayonne,A,Existing,355580,355580.0,$13.75 - 16.81 (Est.),Warehouse,Bayonne,0.0,2025.0,,355580.0,0.6,"40'0""",55'w x 50'd,70.0,2000a,,,2024 Tax @ $0.6638/sf,,355580.0,355580,4,,,269.0,40.6621596,-74.1034011,NY,NY.csv,116,T4-NY-00116,existing,True,False,direct_existing_facility,355580.0,True,True,True,True,Bridge Point Bayonne,True,34017,Hudson,NJ,9,23587.807365827575,NJ
100 W Hunter Ave,Stepan Company,B,Existing,200000,,$13.31 - 16.27 (Est.),Warehouse,Maywood,100.0,,,200000.0,,,,,,,City,2024 Tax @ $1.3534/sf,,,0,,,City,,40.8962123,-74.0689285,NY,NY.csv,117,T4-NY-00117,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Stepan Company,False,34003,Bergen,NJ,9,40572.76221834727,NJ
1 Hunts Pt,,C,Existing,248971,,$15.22 - 18.60 (Est.),Warehouse,Bronx,100.0,2001.0,,7500.0,,,,,,,,,,,0,,,,,40.8089209,-73.8738835,NY,NY.csv,118,T4-NY-00118,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1 Hunts Pt, Bronx, NY",False,36005,Bronx,NY,25,18051.656391963028,NY
