property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
101 Port Lincoln Rd,Building 100,A,Existing,332640,332640.0,$13.66 - 16.69 (Est.),Distribution,Bayonne,0.0,2023.0,,332640.0,1.21,"36'0""",54'w x 55'd,66.0,3000a/277-480v 3p,,,,,332640.0,332640,2,,,403.0,40.6724455,-74.0941854,NJ,NJ.csv,24,T4-NJ-00024,existing,True,False,direct_existing_facility,332640.0,True,True,True,True,Building 100,True,34017,Hudson,NJ,9,23587.807365827575,NJ
283 Prospect Plains Rd,,A,Existing,473148,255000.0,$12.43 - 15.20 (Est.),Distribution,Cranbury,46.11,2001.0,,473148.0,1.06,"36'0""",52'w x 50'd,66.0,2000a/277-480v,,,2024 Tax @ $0.6844/sf,,255000.0,255000,"3/12'0""w x 14'0""h",ESFR,,517.0,40.329148,-74.488276,NJ,NJ.csv,25,T4-NJ-00025,existing,True,False,direct_existing_facility,255000.0,True,True,True,True,"283 Prospect Plains Rd, Cranbury, NJ",True,34023,Middlesex,NJ,15,47721.196222924744,NJ
169 Pulaski St,,B,Existing,433204,100000.0,$13.64 - 16.67 (Est.),Warehouse,Bayonne,100.0,1980.0,,433204.0,0.21,"26'0""",,28.0,1000a,,,2024 Tax @ $1.7821/sf,,100000.0,0,,Yes,,91.0,40.678888,-74.0998082,NJ,NJ.csv,26,T4-NJ-00026,existing,True,False,direct_existing_facility,100000.0,True,True,True,True,"169 Pulaski St, Bayonne, NJ",True,34017,Hudson,NJ,9,23587.807365827575,NJ
100 Ridge Rd,Building 1,A,Existing,311040,39150.0,$12.17 - 14.87 (Est.),Distribution,Piscataway,100.0,2018.0,,311040.0,0.68,"36'0""",50'w x 50'd,42.0,2000a,Conrail,,2024 Tax @ $0.0815/sf,,0.0,0,2,ESFR,,274.0,40.5560517,-74.5159712,NJ,NJ.csv,27,T4-NJ-00027,existing,True,False,direct_existing_facility,39150.0,True,True,True,True,Building 1,True,34023,Middlesex,NJ,15,47721.196222924744,NJ
473 Ridge Rd,,A,Existing,318389,106080.0,$11.47 - 14.02 (Est.),Warehouse,South Brunswick,66.68,1981.0,1984.0,318389.0,1.25,"36'0""",54'w x 52'd,27.0,4800a/240-480v 3p,,Yes,2024 Tax @ $1.2427/sf,,106080.0,106080,8,Wet,Yes,400.0,40.3761969,-74.528069,NJ,NJ.csv,28,T4-NJ-00028,existing,True,False,direct_existing_facility,106080.0,True,True,True,True,"473 Ridge Rd, South Brunswick, NJ",True,34023,Middlesex,NJ,15,47721.196222924744,NJ
70 Sewell St,Route 55 Industrial Center,C,Existing,371326,30245.0,$6.19 - 7.56 (Est.),Warehouse,Glassboro,91.85,1961.0,2011.0,371326.0,0.87,"20'0""",47'w x 51'd,34.0,480v 3p,,City,2024 Tax @ $0.3340/sf,,30245.0,30245,"14/9'0""w x 13'0""h",Wet,City,347.0,39.696239,-75.121774,NJ,NJ.csv,29,T4-NJ-00029,existing,True,False,direct_existing_facility,30245.0,True,True,True,True,Route 55 Industrial Center,True,34015,Gloucester,NJ,36,13684.2732775389,NJ
16 Herbert St,,C,Existing,304000,121000.0,$12.95 - 14.45,Warehouse,Newark,60.2,1954.0,,304000.0,0.16,"26'0""",,30.0,600a/480v,,City,2024 Tax @ $1.0446/sf,,121000.0,121000,"7/10'0""w x 13'0""h",Wet,City,50.0,40.7212516,-74.1416858,NJ,NJ.csv,30,T4-NJ-00030,existing,True,False,direct_existing_facility,121000.0,True,True,True,True,"16 Herbert St, Newark, NJ",True,34013,Essex,NJ,44,34466.06439386335,NJ
1500 Rahway Ave,,B,Existing,326741,12940.0,$15.00,Distribution,Avenel,96.04,1994.0,,326741.0,0.61,"29'6""",52'w x 44'd,37.0,2000a/277-480v 3p,,City,2024 Tax @ $0.0170/sf,,12940.0,12940,"1/10'0""w x 12'0""h",ESFR,City,261.0,40.5939942,-74.2654117,NJ,NJ.csv,31,T4-NJ-00031,existing,True,False,direct_existing_facility,12940.0,True,False,True,True,"1500 Rahway Ave, Avenel, NJ",False,34023,Middlesex,NJ,15,47721.196222924744,NJ
1 Truman Dr S,,B,Existing,369313,267365.0,$12.00,Warehouse,Edison,100.0,1978.0,,369313.0,0.75,"24'0""",40'w x 40'd,40.0,3000a/277-480v 3p 4w,,City,2024 Tax @ $1.3701/sf,,142365.0,0,"6/12'0""w x 14'0""h",Wet,City,306.0,40.517775,-74.417353,NJ,NJ.csv,32,T4-NJ-00032,existing,True,False,direct_existing_facility,267365.0,True,True,True,True,"1 Truman Dr S, Edison, NJ",True,34023,Middlesex,NJ,15,47721.196222924744,NJ
2701 Route 3 Way,Lincoln Crossing,B,Existing,335827,,$13.67 - 16.71 (Est.),Distribution,Secaucus,100.0,2022.0,,335827.0,1.86,"40'0""",40'w,55.0,3000a/480v,,,,,,0,2,,,405.0,40.7809452,-74.0496966,NJ,NJ.csv,33,T4-NJ-00033,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Lincoln Crossing,False,34017,Hudson,NJ,9,23587.807365827575,NJ
