property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
45 Industrial Park,,A,Existing,165000,,$9.00 - 10.99 (Est.),Warehouse,Saco,100.0,2023.0,,125000.0,1.09,"32'0""",,60.0,,,City,,,,0,,Wet,,136.0,43.5245986,-70.441627,ME,ME.csv,23,T4-ME-00023,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"45 Industrial Park, Saco, ME",False,23031,York,ME,17,10283.952501625234,ME
71 Kennebec St,,B,Existing,145080,,$7.19 - 8.78 (Est.),Warehouse,Portland,100.0,,,72540.0,,,,11.0,,,,,,,0,,,,,43.6613716,-70.2621882,ME,ME.csv,24,T4-ME-00024,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"71 Kennebec St, Portland, ME",False,23005,Cumberland,ME,5,23357.347649143943,ME
15 Locust St,,C,Existing,100000,,$5.72 - 6.99 (Est.),Warehouse,Lewiston,100.0,,,25000.0,1.0,"14'0""",,6.0,600a/440v,,City,,,,0,"2/8'0""w x 10'0""h",Yes,City,100.0,44.08823,-70.213427,ME,ME.csv,25,T4-ME-00025,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"15 Locust St, Lewiston, ME",False,23001,Androscoggin,ME,5,8650.988424634748,ME
77 Logistics Ln,,C,Existing,132640,,$3.89 - 4.75 (Est.),Distribution,Hermon,100.0,1989.0,,66320.0,,"35'0""",,,,,,2024 Tax @ $0.6166/sf,,,0,,Dry,,,44.7840596,-68.8645697,ME,ME.csv,26,T4-ME-00026,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"77 Logistics Ln, Hermon, ME",False,23019,Penobscot,ME,43,11400.902411905665,ME
54 Milliken St,,A,Existing,206165,,$6.72 - 8.22 (Est.),Warehouse,Portland,100.0,2013.0,,206165.0,1.07,"32'0""",,13.0,600a/480v,,City,,,,0,1,Wet,City,220.0,43.7067938,-70.3044875,ME,ME.csv,27,T4-ME-00027,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"54 Milliken St, Portland, ME",False,23005,Cumberland,ME,5,23357.347649143943,ME
8 Morin St,,B,Existing,124315,,$5.80 - 7.09 (Est.),Warehouse,Biddeford,100.0,1974.0,,124315.0,1.21,"32'0""",,3.0,3000a 3p,,,2025 Tax @ $0.5261/sf,,,0,"2/11'0""w x 10'0""h",Wet,,150.0,43.469983,-70.492354,ME,ME.csv,28,T4-ME-00028,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"8 Morin St, Biddeford, ME",False,23031,York,ME,17,10283.952501625234,ME
11 Morin St,,C,Existing,139607,,$7.46 - 9.12 (Est.),Warehouse,Biddeford,100.0,1976.0,,128585.0,,,,4.0,,,,2025 Tax @ $0.9109/sf,,,0,,,,30.0,43.4677919,-70.4909485,ME,ME.csv,29,T4-ME-00029,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"11 Morin St, Biddeford, ME",False,23031,York,ME,17,10283.952501625234,ME
234 Northeast Rd,,B,Existing,124483,,$8.64 - 10.56 (Est.),Distribution,Standish,100.0,1967.0,,124483.0,2.83,"25'0""",,4.0,3800a/480v 3p,,City,2024 Tax @ $0.2708/sf,,,0,1,Wet,City,352.0,43.74861,-70.539635,ME,ME.csv,30,T4-ME-00030,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"234 Northeast Rd, Standish, ME",False,23005,Cumberland,ME,5,23357.347649143943,ME
485 Old Belgrade Rd,,B,Existing,151554,,$7.70 - 9.41 (Est.),Distribution,Augusta,100.0,1978.0,,151554.0,0.7,,,16.0,,,,2025 Tax @ $0.6515/sf,,,0,"2/8'0""w x 10'0""h",,,100.0,44.3703045,-69.7893264,ME,ME.csv,31,T4-ME-00031,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"485 Old Belgrade Rd, Augusta, ME",False,23011,Kennebec,ME,43,7315.4650435596595,ME
74 Orion St,,B,Existing,123000,,$9.65 - 11.79 (Est.),Warehouse,Brunswick,100.0,1953.0,,123000.0,,"15'0""",,,,,,,,,0,1,,,,43.8932048,-69.9316785,ME,ME.csv,32,T4-ME-00032,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"74 Orion St, Brunswick, ME",False,23005,Cumberland,ME,5,23357.347649143943,ME
22 Pioneer Ave,,C,Existing,153875,,$9.04 - 11.05 (Est.),Warehouse,Sanford,100.0,1923.0,,153875.0,0.19,,,,,,,2025 Tax @ $0.0895/sf,,,0,"1/6'0""w x 9'0""h",,,30.0,43.4394721,-70.7709748,ME,ME.csv,33,T4-ME-00033,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"22 Pioneer Ave, Sanford, ME",False,23031,York,ME,17,10283.952501625234,ME
152 Portland Rd,,C,Existing,122228,,$9.65 - 11.79 (Est.),Warehouse,Bridgton,100.0,1986.0,,115053.0,0.0,"20'0""",,5.0,1500a/480v 3p,,,2025 Tax @ $0.3508/sf,,,0,"1/8'0""w x 10'0""h",Wet,,,44.043466,-70.700177,ME,ME.csv,34,T4-ME-00034,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"152 Portland Rd, Bridgton, ME",False,23005,Cumberland,ME,5,23357.347649143943,ME
203 Read St,,B,Existing,167154,,$8.92 - 10.91 (Est.),Distribution,Portland,100.0,1980.0,,167154.0,1.2,"22'0""",41'w x 48'd,14.0,600a/480v,,City,2024 Tax @ $0.0528/sf,,,0,"8/22'0""w x 14'0""h",Wet,City,200.0,43.6838998,-70.2860029,ME,ME.csv,35,T4-ME-00035,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"203 Read St, Portland, ME",False,23005,Cumberland,ME,5,23357.347649143943,ME
13 River St,,B,Existing,299426,,$9.27 - 11.32 (Est.),Warehouse,Sanford,100.0,1900.0,,59885.0,,"15'0""",,8.0,3p,,,2025 Tax @ $0.0114/sf,,,0,,Yes,,,43.442657,-70.773005,ME,ME.csv,36,T4-ME-00036,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"13 River St, Sanford, ME",False,23031,York,ME,17,10283.952501625234,ME
977 W River Rd,,A,Existing,228000,,$7.45 - 8.45 (Est.),Warehouse,Waterville,100.0,1971.0,,228000.0,1.52,"15'0""",,2.0,Heavy,,,2025 Tax @ $0.2050/sf,,,0,1,Yes,,346.0,44.503961,-69.6827831,ME,ME.csv,37,T4-ME-00037,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"977 W River Rd, Waterville, ME",False,23011,Kennebec,ME,43,7315.4650435596595,ME
409 Roosevelt Trl,Hancock Lumber,B,Existing,314463,,$8.24 - 10.07 (Est.),Warehouse,Windham,100.0,,,314463.0,,,,5.0,,,,,,,0,"2/10'0""w x 12'0""h",,,40.0,43.802507,-70.403953,ME,ME.csv,38,T4-ME-00038,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Hancock Lumber,False,23005,Cumberland,ME,5,23357.347649143943,ME
15 Saunders Way,Saunders Business Park,B,Existing,144142,,$8.39 - 10.25 (Est.),Warehouse,Westbrook,100.0,1955.0,2008.0,100218.0,0.0,"16'0""",25'w x 50'd,3.0,800a/480v 3p,,,,,,0,Yes,Wet,,,43.676201,-70.343072,ME,ME.csv,39,T4-ME-00039,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Saunders Business Park,False,23005,Cumberland,ME,5,23357.347649143943,ME
48 Spiller Dr,,B,Existing,134000,,$8.13 - 9.94 (Est.),Warehouse,Westbrook,100.0,2006.0,2015.0,134000.0,1.75,,,2.0,,,,,,,0,"1/8'0""w x 10'0""h",Wet,,100.0,43.6576028,-70.3805651,ME,ME.csv,40,T4-ME-00040,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"48 Spiller Dr, Westbrook, ME",False,23005,Cumberland,ME,5,23357.347649143943,ME
225 Spring St,,C,Existing,140000,,$7.88 - 9.63 (Est.),Warehouse,Dexter,100.0,1850.0,,140000.0,,"24'0""",,1.0,,,,2024 Tax @ $0.0420/sf,,,0,"1/8'0""w x 10'0""h",,,,45.012301,-69.288489,ME,ME.csv,41,T4-ME-00041,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"225 Spring St, Dexter, ME",False,23019,Penobscot,ME,43,11400.902411905665,ME
65 Spring Hill Rd,Huttig Building Products,B,Existing,131400,,$7.46 - 9.12 (Est.),Warehouse,Saco,100.0,2001.0,2018.0,131400.0,0.91,,,12.0,,,,2024 Tax @ $0.8272/sf,,,0,"2/7'0""w x 9'0""h",,,83.0,43.5370113,-70.4363809,ME,ME.csv,42,T4-ME-00042,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Huttig Building Products,False,23031,York,ME,17,10283.952501625234,ME
693 Stillwater Ave,,C,Existing,115000,,$7.32 - 8.94 (Est.),Distribution,Bangor,100.0,1980.0,,115000.0,3.83,,,5.0,,,,,,,0,2,,,440.0,44.8310108,-68.7469151,ME,ME.csv,43,T4-ME-00043,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"693 Stillwater Ave, Bangor, ME",False,23019,Penobscot,ME,43,11400.902411905665,ME
