property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
5 Cudworth Rd,,B,Existing,348400,,$7.47 - 9.13 (Est.),Warehouse,Webster,100.0,1969.0,,84000.0,0.29,"26'0""",40'w,,,,,2025 Tax @ $0.2476/sf,,,0,"1/18'0""w x 14'0""h",,Yes,50.0,42.0676892,-71.8587133,MA,MA.csv,58,T4-MA-00058,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"5 Cudworth Rd, Webster, MA",False,25027,Worcester,MA,16,20016.15286549168,MA
1 D'Angelo Dr,,B,Existing,424079,,$11.11 - 13.58 (Est.),Distribution,Marlborough,100.0,1984.0,,424079.0,0.47,,,20.0,,,,2025 Tax @ $1.2056/sf,,,0,"9/18'0""w x 20'0""h",Wet,,200.0,42.316101,-71.583099,MA,MA.csv,59,T4-MA-00059,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1 D'Angelo Dr, Marlborough, MA",False,25017,Middlesex,MA,16,37219.47229475793,MA
100 Danton Dr,,B,Existing,291400,,$11.78 - 14.40 (Est.),Warehouse,Methuen,100.0,1985.0,1991.0,291400.0,2.87,"26'0""",40'w x 40'd,54.0,1600a/277-480v 3p 4w,,City,2025 Tax @ $1.2856/sf,,,0,"2/10'0""w x 12'0""h",Wet,City,120.0,42.7202563,-71.2107756,MA,MA.csv,60,T4-MA-00060,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"100 Danton Dr, Methuen, MA",False,25009,Essex,MA,17,17316.30068456367,MA
150 Depot St,National DCP,A,Existing,252000,,$10.46 - 12.78 (Est.),Distribution,Bellingham,100.0,2005.0,,126000.0,1.84,,,42.0,,,,2025 Tax @ $3.2304/sf,,,0,"1/12'0""w x 12'0""h",Yes,,420.0,42.098955,-71.491644,MA,MA.csv,61,T4-MA-00061,existing,True,False,direct_existing_facility,0.0,False,False,True,True,National DCP,False,25021,Norfolk,MA,26,17207.645056127454,MA
3 Distribution Center Cir,Potpourri | Littleton,A,Existing,448759,,$10.42 - 12.74 (Est.),Distribution,Littleton,100.0,2015.0,,448759.0,,"32'0""",40'w,23.0,5000a/277-480v 3p 4w,,Yes,2025 Tax @ $2.9661/sf,,,0,"1/7'0""w x 9'0""h",ESFR,City,,42.5480994,-71.508191,MA,MA.csv,62,T4-MA-00062,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Potpourri | Littleton,False,25017,Middlesex,MA,16,37219.47229475793,MA
875 East St,,C,Existing,484857,,$12.16 - 14.87 (Est.),Warehouse,Tewksbury,100.0,1972.0,,484857.0,,,,,,,,2025 Tax @ $1.3711/sf,,,0,,Wet,,,42.6157907,-71.1952735,MA,MA.csv,63,T4-MA-00063,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"875 East St, Tewksbury, MA",False,25017,Middlesex,MA,16,37219.47229475793,MA
142 Elm St,,B,Existing,359938,,$6.98 - 8.53 (Est.),Warehouse,Hatfield,100.0,1968.0,,359938.0,0.72,"23'0""",,47.0,2000a/277-480v 3p 4w,,Yes,2025 Tax @ $0.4506/sf,,,0,,Wet,Yes,260.0,42.3639546,-72.6329714,MA,MA.csv,64,T4-MA-00064,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"142 Elm St, Hatfield, MA",False,25015,Hampshire,MA,39,4829.097795020121,MA
1977 Fall River Ave,,B,Existing,248000,,$8.75 - 10.69 (Est.),Distribution,Seekonk,100.0,2017.0,,248000.0,,,,63.0,,,,2025 Tax @ $2.5892/sf,,,0,7,,,,41.7777014,-71.2971693,MA,MA.csv,65,T4-MA-00065,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1977 Fall River Ave, Seekonk, MA",False,25005,Bristol,MA,33,14111.7303778516,MA
305 Forbes Blvd,Zayre,A,Existing,429025,,$9.46 - 11.56 (Est.),Warehouse,Mansfield,100.0,1972.0,,429025.0,0.61,"28'0""",,136.0,2000a/277-480v,CSX,City,2025 Tax @ $1.2548/sf,,,0,"35/36'0""w x 24'0""h",Wet,City,600.0,42.0221426,-71.2435288,MA,MA.csv,66,T4-MA-00066,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Zayre,False,25005,Bristol,MA,33,14111.7303778516,MA
440 Forbes Blvd,Toyota,C,Existing,235979,,$8.75 - 10.69 (Est.),Warehouse,Mansfield,100.0,1979.0,,217700.0,0.47,"26'0""",,15.0,,,City,,,,0,,,City,110.0,42.016267,-71.23497,MA,MA.csv,67,T4-MA-00067,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Toyota,False,25005,Bristol,MA,33,14111.7303778516,MA
