property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
6974 Schantz Rd,West Park Distribution Center,C,Existing,480000,,$7.57 - 9.26 (Est.),Distribution,Allentown,100.0,1998.0,,480000.0,0.37,"30'0""",50'w x 50'd,70.0,,,,2026 Tax @ $1.6030/sf,,,0,,ESFR,,178.0,40.5782573,-75.6044742,PA,PA.csv,213,T4-PA-00213,existing,True,False,direct_existing_facility,0.0,False,False,True,True,West Park Distribution Center,False,42077,Lehigh,PA,1,25508.38699162405,PA
1700 Shearer Dr,Allen Distribution Building #12,B,Existing,339840,,$7.25 - 8.86 (Est.),Warehouse,Carlisle,100.0,,,339840.0,,,,,,,,2025 Tax @ $0.6950/sf,,,0,,,,,40.1952051,-77.2340662,PA,PA.csv,214,T4-PA-00214,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Allen Distribution Building #12,False,42041,Cumberland,PA,38,14788.77316830933,PA
1707 Shearer Dr,Ross Stores,A,Existing,425000,,$6.88 - 8.41 (Est.),Distribution,Carlisle,100.0,1991.0,,425000.0,,,,71.0,,,,2025 Tax @ $0.8851/sf,,,0,,,,,40.1964931,-77.2386155,PA,PA.csv,215,T4-PA-00215,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Ross Stores,False,42041,Cumberland,PA,38,14788.77316830933,PA
1440 Sheffler Dr,,B,Existing,355200,,$6.72 - 8.22 (Est.),Distribution,Chambersburg,100.0,1996.0,,355200.0,0.05,"32'0""",40'w x 60'd,50.0,1600a/277-400v 3p 4w,,City,2025 Tax @ $0.9285/sf,,,0,"2/12'0""w x 14'0""h",ESFR,City,20.0,39.9113055,-77.6612502,PA,PA.csv,216,T4-PA-00216,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1440 Sheffler Dr, Chambersburg, PA",False,42055,Franklin,PA,8,8157.1036003715535,PA
3145 Shillington Rd,,B,Existing,324226,,$3.50 - 4.28 (Est.),Warehouse,Reading,100.0,1960.0,,324226.0,0.49,"25'0""",25'w,11.0,1000a/480v 3p,,City,,,,0,"8/12'0""w x 12'0""h",Wet,City,92.0,40.3231596,-76.0099044,PA,PA.csv,217,T4-PA-00217,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"3145 Shillington Rd, Reading, PA",False,42011,Berks,PA,49,15943.236644949053,PA
6771 Silver Crest Rd,Arcadia East,A,Existing,423500,,$7.57 - 9.26 (Est.),Warehouse,Nazareth,100.0,2011.0,,423500.0,1.01,"32'0""",50'w x 50'd,40.0,,,Yes,2026 Tax @ $0.1949/sf,,,0,,,Yes,429.0,40.7132618,-75.3904078,PA,PA.csv,218,T4-PA-00218,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Arcadia East,False,42095,Northampton,PA,1,22867.264837932416,PA
10 Simmons Dr,NBTY,B,Existing,413600,,$5.86 - 7.17 (Est.),Warehouse,Hazleton,100.0,,,413600.0,,,,20.0,,,,2025 Tax @ $0.8081/sf,,,0,,,,120.0,40.9192816,-76.0543045,PA,PA.csv,219,T4-PA-00219,existing,True,False,direct_existing_facility,0.0,False,False,True,True,NBTY,False,42079,Luzerne,PA,49,18314.37102289535,PA
153 Smith Transport Rd,,C,Existing,500000,,$5.77 - 7.05 (Est.),Warehouse,Roaring Spring,100.0,,,500000.0,,"24'0""",40'w x 25'd,69.0,1600a/277v 3p,,Yes,2025 Tax @ $0.1371/sf,,,0,,ESFR,Yes,,40.3223737,-78.3867786,PA,PA.csv,220,T4-PA-00220,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"153 Smith Transport Rd, Roaring Spring, PA",False,42013,Blair,PA,19,8133.518782964837,PA
225 Solar Dr,Gordon Food Service,A,Existing,420000,,$7.66 - 9.36 (Est.),Distribution,Imperial,100.0,2015.0,,420000.0,,,,36.0,,,,2024 Tax @ $1.7743/sf,,,0,"6/14'0""w x 18'0""h",,,55.0,40.4393827,-80.3010921,PA,PA.csv,221,T4-PA-00221,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Gordon Food Service,False,42003,Allegheny,PA,45,51329.19942869223,PA
4626 Somerton Rd,,A,Existing,320250,320250.0,$10.68 - 13.06 (Est.),Warehouse,Trevose,0.0,2025.0,,320250.0,0.78,"36'0""",50'w x 54'd,55.0,4000a/277-480v,,,,,320250.0,320250,2,ESFR,,251.0,40.1304407,-74.9878112,PA,PA.csv,222,T4-PA-00222,existing,True,False,direct_existing_facility,320250.0,True,True,True,True,"4626 Somerton Rd, Trevose, PA",True,42017,Bucks,PA,32,22096.968197616283,PA
403 South Chiques Rd,,A,Existing,399280,,$7.34 - 8.97 (Est.),Distribution,Manheim,100.0,2025.0,,399280.0,0.44,"40'0""",56'w x 50'd,40.0,,,,2025 Tax @ $0.0587/sf,,,0,2,ESFR,,174.0,40.1065577,-76.4352123,PA,PA.csv,223,T4-PA-00223,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"403 South Chiques Rd, Manheim, PA",False,42071,Lancaster,PA,30,34402.025273802414,PA
485 St. Johns Church Rd,485 Distribution Center,A,Existing,456810,137938.0,$6.28 - 7.68 (Est.),Warehouse,Shiremanstown,69.8,1955.0,2018.0,456810.0,0.33,"32'0""",54'w x 48'd,72.0,2000a/277-480v 3p 4w,,,2025 Tax @ $0.9204/sf,,137938.0,137938,"2/12'0""w x 14'0""h",ESFR,,241.0,40.2260605,-76.9533535,PA,PA.csv,224,T4-PA-00224,existing,True,False,direct_existing_facility,137938.0,True,True,True,True,485 Distribution Center,True,42041,Cumberland,PA,38,14788.77316830933,PA
3000 State Dr,,A,Existing,450000,,$5.03 - 6.15 (Est.),Distribution,Lebanon,100.0,2024.0,,450000.0,,,,,,,,,,,0,,,,,40.2943209,-76.3799452,PA,PA.csv,225,T4-PA-00225,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"3000 State Dr, Lebanon, PA",False,42075,Lebanon,PA,49,9498.36716012952,PA
2707 State Rd,,B,Existing,328276,90000.0,$6.92 - 8.46 (Est.),Warehouse,Croydon,72.58,1965.0,,301300.0,0.33,"27'0""",,6.0,,,,2024 Tax @ $0.5700/sf,,90000.0,90000,Yes,Dry,,100.0,40.094432,-74.885568,PA,PA.csv,226,T4-PA-00226,existing,True,False,direct_existing_facility,90000.0,True,True,True,True,"2707 State Rd, Croydon, PA",True,42017,Bucks,PA,32,22096.968197616283,PA
105 Steam Boat Blvd,,A,Existing,390055,,$6.38 - 7.80 (Est.),Distribution,Manchester,100.0,2004.0,,390055.0,0.38,"30'0""",,31.0,,,,2025 Tax @ $1.2382/sf,,,0,2,,,148.0,40.036,-76.7178,PA,PA.csv,227,T4-PA-00227,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"105 Steam Boat Blvd, Manchester, PA",False,42133,York,PA,38,25340.211478760248,PA
405 Sterling St,Bldg 2,A,Existing,360781,,$5.50 - 6.72 (Est.),Warehouse,Camp Hill,100.0,1985.0,,180000.0,,"30'0""",40'w x 40'd,27.0,3p,Norfolk Southern,City,2025 Tax @ $0.3941/sf,,,0,1,Wet,City,,40.2302389,-76.9423079,PA,PA.csv,228,T4-PA-00228,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Bldg 2,False,42041,Cumberland,PA,38,14788.77316830933,PA
2712-36 Stokley St,Budd Bioworks | Stokley Alley,C,Existing,360000,,$9.97 - 12.18 (Est.),Warehouse,Philadelphia,100.0,1930.0,,90000.0,,"15'0""",,1.0,,Conrail,,2024 Tax @ $0.0137/sf,,,0,2,,,,40.0091241,-75.1702718,PA,PA.csv,229,T4-PA-00229,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Budd Bioworks | Stokley Alley,False,42101,Philadelphia,PA,36,39685.20452044529,PA
700 W Tabor Rd,Tabor Road Warehouse,C,Existing,300000,,$4.38 - 5.35 (Est.),Warehouse,Philadelphia,100.0,1950.0,,75000.0,0.0,"10'0""",,2.0,Heavy,,City,2024 Tax @ $0.1222/sf,,,0,3,Dry,City,,40.0344157,-75.133794,PA,PA.csv,230,T4-PA-00230,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Tabor Road Warehouse,False,42101,Philadelphia,PA,36,39685.20452044529,PA
150 Thorn Hill Rd,,A,Existing,432203,,$6.61 - 8.08 (Est.),Warehouse,Warrendale,100.0,1978.0,,432203.0,1.03,"40'0""",32'w x 40'd,32.0,4000a,,Yes,2024 Tax @ $1.0782/sf,,,432203,6,ESFR,Yes,480.0,40.6673003,-80.1058931,PA,PA.csv,231,T4-PA-00231,existing,True,False,direct_existing_facility,432203.0,True,True,True,True,"150 Thorn Hill Rd, Warrendale, PA",True,42003,Allegheny,PA,45,51329.19942869223,PA
174 Tomlinson Dr,FedEx Distribution,A,Existing,305000,,$6.81 - 8.32 (Est.),Distribution,Zelienople,100.0,2015.0,,305000.0,0.98,,,90.0,,,,,,,0,"6/14'0""w x 18'0""h",ESFR,,300.0,40.7585158,-80.1053574,PA,PA.csv,232,T4-PA-00232,existing,True,False,direct_existing_facility,0.0,False,False,True,True,FedEx Distribution,False,42019,Butler,PA,42,10116.60515999266,PA
300 Tomlinson Dr,,B,Existing,300000,,$5.62 - 6.87 (Est.),Distribution,Zelienople,100.0,2016.0,,300000.0,,,,,,,,,,,0,,,,,40.7588085,-80.1057942,PA,PA.csv,233,T4-PA-00233,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"300 Tomlinson Dr, Zelienople, PA",False,42019,Butler,PA,42,10116.60515999266,PA
