property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
1000 Kenyon Ct,NEXCOM Northeast Distribution Center,A,Existing,350000,,$7.18 - 8.77 (Est.),Distribution,Suffolk,100.0,2012.0,,350000.0,0.39,"32'0""",,44.0,,,,2025 Tax @ $0.0604/sf,,,0,,,,135.0,36.7276146,-76.657649,VA,VA.csv,132,T4-VA-00132,existing,True,False,direct_existing_facility,0.0,False,False,True,True,NEXCOM Northeast Distribution Center,False,51800,Suffolk,VA,4,5178.170121056488,VA
301 Kenyon Rd,Virginia Commerce Center - Bldg. 200,A,Existing,342640,,$7.18 - 8.77 (Est.),Warehouse,Suffolk,100.0,2025.0,,342640.0,0.44,"36'0""",54'w x 56'd,74.0,277-480v 3p 4w,CSX,,2025 Tax @ $1.0943/sf,,,0,"2/14'0""w x 16'0""h",ESFR,,150.0,36.7300022,-76.652713,VA,VA.csv,133,T4-VA-00133,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Virginia Commerce Center - Bldg. 200,False,51800,Suffolk,VA,4,5178.170121056488,VA
375 Kenyon Rd,,A,Existing,378000,,$7.58 - 9.27 (Est.),Warehouse,Suffolk,100.0,2008.0,,378000.0,0.5,"32'0""",52'w x 60'd,146.0,3p,,City,2025 Tax @ $1.2515/sf,,,0,"4/12'0""w x 12'0""h",ESFR,City,295.0,36.731935,-76.652266,VA,VA.csv,134,T4-VA-00134,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"375 Kenyon Rd, Suffolk, VA",False,51800,Suffolk,VA,4,5178.170121056488,VA
22370 Kipper Dr,,B,Existing,203460,,$12.65 - 15.47 (Est.),Distribution,Sterling,100.0,2020.0,,101730.0,0.18,,,,,,,2025 Tax @ $3.8812/sf,,,0,,,,38.0,38.9967413,-77.435594,VA,VA.csv,135,T4-VA-00135,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"22370 Kipper Dr, Sterling, VA",False,51107,Loudoun,VA,11,8705.363872100603,VA
22420 Kipper Dr,Amazon AWS 22420 Kipper,A,Existing,203460,,$12.65 - 15.47 (Est.),Distribution,Sterling,100.0,2021.0,,101730.0,0.37,,,,,,,2025 Tax @ $3.8812/sf,,,0,,,,75.0,38.995013,-77.4353099,VA,VA.csv,136,T4-VA-00136,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Amazon AWS 22420 Kipper,False,51107,Loudoun,VA,11,8705.363872100603,VA
22895 Ladbrook Dr,,A,Existing,251040,,$12.64 - 15.45 (Est.),Warehouse,Sterling,100.0,2019.0,,251040.0,,"24'0""",40'w x 50'd,38.0,2500a,,,2025 Tax @ $0.8675/sf,,,0,"2/12'0""w x 14'0""h",Yes,,,38.982238,-77.48864,VA,VA.csv,137,T4-VA-00137,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"22895 Ladbrook Dr, Sterling, VA",False,51107,Loudoun,VA,11,8705.363872100603,VA
11600-11690 N Lakeridge Pky,Northlake Building D,B,Existing,320853,,$8.69 - 10.62 (Est.),Distribution,Ashland,100.0,2017.0,,320853.0,,"32'0""",,27.0,,,,2025 Tax @ $0.6614/sf,,,0,"4/12'0""w x 14'0""h",ESFR,,,37.730596,-77.4565858,VA,VA.csv,138,T4-VA-00138,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Northlake Building D,False,51085,Hanover,VA,47,7520.099129211037,VA
500 Lansdowne Rd,CVS Distribution Center,A,Existing,487987,,$8.80 - 10.75 (Est.),Distribution,Fredericksburg,100.0,1985.0,1995.0,487987.0,0.89,"39'0""",,65.0,,CSX,,2025 Tax @ $0.4301/sf,,,0,,ESFR,,542.0,38.2696163,-77.4579835,VA,VA.csv,139,T4-VA-00139,existing,True,False,direct_existing_facility,0.0,False,False,True,True,CVS Distribution Center,False,51177,Spotsylvania,VA,18,3206.1760270085942,VA
1796 Lee Hwy,,C,Existing,253973,,$4.32 - 5.28 (Est.),Distribution,Cloverdale,100.0,1976.0,,253973.0,0.19,"22'0""",,17.0,1600a/277-480v 3p,,,2024 Tax @ $0.3537/sf,,,0,1,,,48.0,37.3722587,-79.9033934,VA,VA.csv,140,T4-VA-00140,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1796 Lee Hwy, Cloverdale, VA",False,51023,Botetourt,VA,34,2430.087265584298,VA
11994 Livingston Rd,USFS Industrial Distribution,A,Existing,420634,,$11.99 - 14.65 (Est.),Distribution,Manassas,100.0,1985.0,2007.0,420634.0,0.47,"40'0""",,40.0,,,City,,,,0,"1/12'0""w x 10'0""h",Yes,City,196.0,38.786628,-77.5545,VA,VA.csv,141,T4-VA-00141,existing,True,False,direct_existing_facility,0.0,False,False,True,True,USFS Industrial Distribution,False,51153,Prince William,VA,37,8659.46471371635,VA
1440 London Bridge Rd,Building 1,B,Existing,200000,,$6.02 - 7.36 (Est.),Warehouse,Virginia Beach,100.0,1995.0,,200000.0,0.5,"32'8""",25'w x 50'd,6.0,2000a/277-480v,,,,,,0,"1/12'0""w x 14'0""h",,,100.0,36.792608,-76.065586,VA,VA.csv,142,T4-VA-00142,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Building 1,False,51810,Virginia Beach,VA,4,14977.726377898349,VA
225 S Magnolia Ave,,C,Existing,267150,,$3.63 - 4.43 (Est.),Warehouse,Buena Vista,100.0,1972.0,,267150.0,0.79,"21'0""",,8.0,3000a,,City,,,,0,37,Wet,City,211.0,37.7142825,-79.3741196,VA,VA.csv,143,T4-VA-00143,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"225 S Magnolia Ave, Buena Vista, VA",False,51530,Buena Vista,VA,34,502.3067878877773,VA
900 Main St,,B,Existing,284461,,$3.77 - 4.61 (Est.),Distribution,Kenbridge,100.0,1960.0,,284461.0,,"26'7""",50'w x 50'd,33.0,Heavy,,Yes,2025 Tax @ $0.0228/sf,,,0,3,Wet,Yes,,36.968239,-78.1482794,VA,VA.csv,144,T4-VA-00144,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"900 Main St, Kenbridge, VA",False,51111,Lunenburg,VA,47,994.1736166482184,VA
10504 Mckesson Dr,,A,Existing,340000,,$6.62 - 8.09 (Est.),Distribution,Ruther Glen,100.0,2011.0,,340000.0,,,,,,,,2025 Tax @ $0.5073/sf,,,0,,,,247.0,37.9389285,-77.4575248,VA,VA.csv,145,T4-VA-00145,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"10504 Mckesson Dr, Ruther Glen, VA",False,51033,Caroline,VA,47,1685.9119028300931,VA
150 Mercury Way,Mercury Paper,A,Existing,324535,,$6.95 - 8.49 (Est.),Distribution,Winchester,100.0,2019.0,,324535.0,0.39,"36'0""",50'w x 52'd,94.0,,,Yes,2025 Tax @ $0.5191/sf,,,0,"2/12'0""w x 15'0""h",ESFR,Yes,127.0,39.2042854,-78.1429518,VA,VA.csv,146,T4-VA-00146,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Mercury Paper,False,51069,Frederick,VA,11,6440.163486893076,VA
5915 B Midlothian Tpke,,A,Existing,292500,,$6.26 - 7.65 (Est.),Distribution,Richmond,100.0,1970.0,,292500.0,0.17,,,6.0,,,,2025 Tax @ $0.2784/sf,,,0,,,,50.0,37.5035658,-77.5056971,VA,VA.csv,147,T4-VA-00147,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"5915 B Midlothian Tpke, Richmond, VA",False,51760,Richmond,VA,13,12184.296091134473,VA
1720 S Military Hwy,"Givens, Inc.",B,Existing,336005,,$9.28 - 11.35 (Est.),Distribution,Chesapeake,100.0,1985.0,,336005.0,,,,30.0,,,,2024 Tax @ $1.0346/sf,,,0,"2/12'0""w x 16'0""h",,,,36.78986,-76.242942,VA,VA.csv,148,T4-VA-00148,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"Givens, Inc.",False,51550,Chesapeake,VA,4,10563.392915498496,VA
3390 Morehead Ave,Building Six,B,Existing,300000,,$8.19 - 10.01 (Est.),Warehouse,Ridgeway,100.0,1994.0,,300000.0,0.12,"30'0""",30'w x 60'd,24.0,800a 3p,,,2024 Tax @ $0.0723/sf,,,0,2,Dry,,35.0,36.5435862,-79.8108194,VA,VA.csv,149,T4-VA-00149,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Building Six,False,51089,Henry,VA,47,3350.5042383984637,VA
