Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
32 Mechanic Ave,Taft Pierce Mill,C,Existing,185154,,$7.02 - 8.58 (Est.),Warehouse,Woonsocket,100.00,1920,,46288,0.16,"12'0""",,4,550a 3p 4w,,,2025 Tax @ $0.0158/sf,,,0,2,Wet,,30,42.0100965,-71.5124864
280 Melrose St,,C,Existing,109243,,$8.57 - 10.48 (Est.),Warehouse,Providence,100.00,1930,,38331,4.03,,,2,,,,2025 Tax @ $4.5224/sf,,,0,"6/14'0""w x 18'0""h",,,440,41.7926860,-71.4185100
560 Mineral Spring Ave,,C,Existing,306000,,$6.88 - 8.41 (Est.),Warehouse,Pawtucket,100.00,1900,,76500,1.29,,,6,,,,2025 Tax @ $0.2435/sf,,,0,"2/8'0""w x 9'0""h",,,224,41.8724083,-71.4062543
1 Moshassuck St,Blackstone Distribution Center,A,Under Construction,159562,159562,$8.09 - 9.89 (Est.),Distribution,Pawtucket,0.00,2026,,159562,0.63,"32'0""",52'w x 55'd,16,1600-3000a,,County,,,159562,0,2,ESFR,County,128,41.8594006,-71.4012409
505 Narragansett Park Dr,,C,Existing,138971,,$7.63 - 9.32 (Est.),Warehouse,Pawtucket,100.00,1990,,138971,3.52,,,8,,,,2025 Tax @ $0.4774/sf,,,0,"4/8'0""w x 8'0""h",,,489,41.8633095,-71.3425513
39 Nooseneck Hill Rd,,C,Existing,132000,,$9.14 - 11.17 (Est.),Warehouse,West Greenwich,100.00,2020,,40000,0.00,,,,,,,2025 Tax @ $0.2467/sf,,,0,,,,,41.6576811,-71.6047212
1 Noyes Ave,,C,Existing,320050,,$6.12 - 7.48 (Est.),Warehouse,East Providence,100.00,1899,,160025,0.62,"16'0""",20'w,28,,,,2025 Tax @ $0.4142/sf,,,0,"8/14'0""w x 14'0""h",,,200,41.8441615,-71.3693473
70 Pawtucket Ave,,B,Existing,128092,,$10.11 - 12.36 (Est.),Warehouse,Rumford,100.00,2012,,128092,0.56,"28'0""",75'w x 25'd,3,,,,2025 Tax @ $0.7779/sf,,,0,"3/11'0""w x 14'0""h",Wet,,56,41.8571188,-71.3630082
327 Pine St,,C,Existing,121716,,$7.63 - 9.32 (Est.),Warehouse,Pawtucket,100.00,1907,,121716,0.92,"18'0""",20'w,4,,,Yes,2025 Tax @ $0.1930/sf,,,0,"1/12'0""w x 12'0""h",Wet,Yes,122,41.8799709,-71.3927184
2000 Plainfield Pike,Dean Warehouse Services,B,Existing,236551,,$7.78 - 9.51 (Est.),Distribution,Cranston,100.00,1976,,236551,0.32,"18'0""",30'w x 40'd,11,3000a/480v,,,2025 Tax @ $0.5031/sf,,,0,"1/10'0""w x 10'0""h",,County,75,41.7873405,-71.5073240
