Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
154 Campanelli Dr,NES Clothing Company,B,Existing,275000,,$11.56 - 14.13 (Est.),Distribution,Middleboro,100.00,2001,,259010,0.40,"32'0""",44'w x 40'd,40,,,,2025 Tax @ $0.8094/sf,,,0,1,,,110,41.9103417,-70.9590051
175-185 Campanelli Dr,,B,Existing,484000,,$11.70 - 14.31 (Est.),Warehouse,Braintree,100.00,1968,1988,484000,0.27,"22'0""",38'w x 40'd,59,1600a/480v 3p 4w,,Yes,2025 Tax @ $1.4826/sf,,,0,3,Wet,Yes,133,42.2060480,-71.0322968
100 Campanelli Pky,,B,Existing,208200,,$7.35 - 8.99 (Est.),Warehouse,Stoughton,100.00,1977,,200200,2.16,"23'4""",42'w x 36'd,29,1600a/480v,,,2025 Tax @ $1.1838/sf,,,0,2,Wet,,449,42.1131468,-71.0674048
132 Campanelli Industrial Dr,Brockton 1,B,Existing,300114,225000,$8.88 - 10.85 (Est.),Distribution,Brockton,25.03,1967,2008,300114,1.33,"21'0""",30'w x 34'd,37,2000a/277-480v,,City,2025 Tax @ $1.1289/sf,,225000,225000,1,Wet,City,400,42.0988591,-71.0538065
20 Canal St,,C,Existing,218240,,$7.92 - 9.68 (Est.),Warehouse,Turners Falls,100.00,1890,,60320,0.02,,,4,,,,,,,0,"3/8'0""w x 10'0""h",Dry,,6,42.6104630,-72.5582010
333 Canal St,,C,Existing,200000,,$5.99 - 7.33 (Est.),Warehouse,Holyoke,100.00,1880,,200000,,,,6,,,,2025 Tax @ $0.3086/sf,,,0,"4/10'0""w x 16'0""h",,,60,42.2017280,-72.5971790
675 Canton St,,A,Existing,338432,122210,$11.83 - 14.46 (Est.),Warehouse,Norwood,63.89,1973,2006,338432,0.52,"30'0""",50'w x 40'd,43,1600-3000a/120-480v 3p 4w,CSX,City,,,122210,122210,"6/20'0""w x 18'0""h",ESFR,City,175,42.2019197,-71.1669245
23 Cape Rd,,A,Existing,205577,205577,$11.43 - 13.97 (Est.),Distribution,Mendon,0.00,2025,,205577,1.00,"32'0""",54'w x 52'd,34,,,Yes,2025 Tax @ $0.0586/sf,,205577,205577,2,ESFR,Yes,226,42.0994038,-71.5049678
11 Centennial Dr,,B,Existing,232783,,$12.07 - 14.76 (Est.),Warehouse,Peabody,100.00,1984,,198475,0.53,"34'0""",,15,,,,2025 Tax @ $2.1948/sf,,,0,"14/14'0""w x 16'0""h",,,124,42.5215272,-70.9577923
345 Central St,,B,Existing,204077,,$8.36 - 10.22 (Est.),Warehouse,Leominster,100.00,1960,2004,97431,2.20,"16'0""",,7,Heavy,,City,2025 Tax @ $0.3860/sf,,,0,"9/9'0""w x 9'0""h",Wet,City,200,42.5135040,-71.7561240
150 Charles Colton Rd,,B,Existing,200000,,$10.71 - 13.09 (Est.),Warehouse,Taunton,100.00,2016,,200000,1.25,"30'0""",47'w x 60'd,48,4000a/277-480v 3p 4w,,City,2025 Tax @ $2.2075/sf,,,0,"1/12'0""w x 12'0""h",ESFR,City,268,41.9463176,-71.1219013
330 Chestnut St,,C,Existing,480548,,$3.16 - 3.54 (Est.),Warehouse,East Longmeadow,100.00,1940,,480548,,"40'0""",40'w x 40'd,27,4800a 3p,,Yes,2025 Tax @ $0.0546/sf,,,0,1,Yes,Yes,,42.0516883,-72.5231116
134 Chestnut Hill Ave,L.P. Athol Corporation,C,Existing,360000,,$9.82 - 12.00 (Est.),Warehouse,Athol,100.00,1899,2020,120000,0.83,"14'0""",,7,13800a/600v 3p,Boston & Maine Railroad,City,2025 Tax @ $0.0038/sf,,,0,"2/12'0""w x 14'0""h",Dry,City,300,42.5969337,-72.2218398
500 Commander Shea Blvd,Boston Scientific,B,Existing,378000,,$13.01 - 15.91 (Est.),Warehouse,Quincy,100.00,1970,,443199,,,,,,,,2025 Tax @ $3.6508/sf,,,0,,,,,42.2951946,-71.0330112
90 Commerce Way,Cartier Rice Dowd Bldg,C,Existing,273332,,$13.71 - 16.76 (Est.),Warehouse,Woburn,100.00,1974,,136666,1.10,"28'0""",25'w x 30'd,14,,,,,,,0,None,Wet,,65,42.5139380,-71.1362720
20 Computer Dr,,B,Existing,204000,92203,$11.32 - 13.84 (Est.),Distribution,Haverhill,100.00,1989,2019,204000,0.69,"33'0""",37'w x 40'd,26,2000a/208-480v,,City,2025 Tax @ $1.2414/sf,,92203,0,"1/12'0""w x 12'0""h",Wet,City,141,42.7859910,-71.1208370
135 Constitution Blvd,,B,Existing,227000,377000,$11.99 - 14.65 (Est.),Warehouse,Franklin,100.00,1987,,113500,0.79,"30'0""",,34,,,City,2025 Tax @ $0.8753/sf,,227000,0,1,Yes,City,179,42.0542767,-71.3951992
300 Constitution Dr,,A,Existing,328104,84672,$10.71 - 13.09 (Est.),Distribution,Taunton,100.00,1998,,164052,2.03,"35'6""",42'w x 42'd,30,5000a 3p,,City,,,0,0,"1/10'0""w x 14'0""h",Wet,City,707,41.9445861,-71.1262041
25 Copeland Dr,,B,Existing,343400,,$10.60 - 12.96 (Est.),Warehouse,Ayer,100.00,1984,,343400,0.19,,,13,,,,2025 Tax @ $1.3934/sf,,,0,"3/8'0""w x 12'0""h",,,66,42.5551150,-71.5646470
1133 County St,,B,Existing,351320,,$8.83 - 10.80 (Est.),Warehouse,Taunton,100.00,1970,,351320,0.35,"24'0""",30'w x 40'd,19,Heavy,,,2025 Tax @ $1.3146/sf,,,0,"2/8'0""w x 11'0""h",Wet,,124,41.8721007,-71.0613015
5 Cudworth Rd,,B,Existing,348400,,$7.47 - 9.13 (Est.),Warehouse,Webster,100.00,1969,,84000,0.29,"26'0""",40'w,,,,,2025 Tax @ $0.2476/sf,,,0,"1/18'0""w x 14'0""h",,Yes,50,42.0676892,-71.8587133
1 D'Angelo Dr,,B,Existing,424079,,$11.11 - 13.58 (Est.),Distribution,Marlborough,100.00,1984,,424079,0.47,,,20,,,,2025 Tax @ $1.2056/sf,,,0,"9/18'0""w x 20'0""h",Wet,,200,42.3161010,-71.5830990
100 Danton Dr,,B,Existing,291400,,$11.78 - 14.40 (Est.),Warehouse,Methuen,100.00,1985,1991,291400,2.87,"26'0""",40'w x 40'd,54,1600a/277-480v 3p 4w,,City,2025 Tax @ $1.2856/sf,,,0,"2/10'0""w x 12'0""h",Wet,City,120,42.7202563,-71.2107756
150 Depot St,National DCP,A,Existing,252000,,$10.46 - 12.78 (Est.),Distribution,Bellingham,100.00,2005,,126000,1.84,,,42,,,,2025 Tax @ $3.2304/sf,,,0,"1/12'0""w x 12'0""h",Yes,,420,42.0989550,-71.4916440
3 Distribution Center Cir,Potpourri | Littleton,A,Existing,448759,,$10.42 - 12.74 (Est.),Distribution,Littleton,100.00,2015,,448759,,"32'0""",40'w,23,5000a/277-480v 3p 4w,,Yes,2025 Tax @ $2.9661/sf,,,0,"1/7'0""w x 9'0""h",ESFR,City,,42.5480994,-71.5081910
875 East St,,C,Existing,484857,,$12.16 - 14.87 (Est.),Warehouse,Tewksbury,100.00,1972,,484857,,,,,,,,2025 Tax @ $1.3711/sf,,,0,,Wet,,,42.6157907,-71.1952735
142 Elm St,,B,Existing,359938,,$6.98 - 8.53 (Est.),Warehouse,Hatfield,100.00,1968,,359938,0.72,"23'0""",,47,2000a/277-480v 3p 4w,,Yes,2025 Tax @ $0.4506/sf,,,0,,Wet,Yes,260,42.3639546,-72.6329714
1977 Fall River Ave,,B,Existing,248000,,$8.75 - 10.69 (Est.),Distribution,Seekonk,100.00,2017,,248000,,,,63,,,,2025 Tax @ $2.5892/sf,,,0,7,,,,41.7777014,-71.2971693
305 Forbes Blvd,Zayre,A,Existing,429025,,$9.46 - 11.56 (Est.),Warehouse,Mansfield,100.00,1972,,429025,0.61,"28'0""",,136,2000a/277-480v,CSX,City,2025 Tax @ $1.2548/sf,,,0,"35/36'0""w x 24'0""h",Wet,City,600,42.0221426,-71.2435288
440 Forbes Blvd,Toyota,C,Existing,235979,,$8.75 - 10.69 (Est.),Warehouse,Mansfield,100.00,1979,,217700,0.47,"26'0""",,15,,,City,,,,0,None,,City,110,42.0162670,-71.2349700
550 Forbes Blvd,,B,Existing,222357,222357,$8.75 - 10.69 (Est.),Distribution,Mansfield,0.00,1988,1995,222357,0.45,"28'0""",48'w x 48'd,16,2000a/480v 3p 4w,,Yes,2025 Tax @ $1.5552/sf,,222357,222357,3,Wet,Yes,100,42.0136501,-71.2371621
12 Forge Pky,,A,Existing,236331,,$11.57 - 14.14 (Est.),Warehouse,Franklin,100.00,1987,2017,236331,0.36,"28'0""",40'w x 40'd,22,1200a/277-480v 3p 3w,,City,2025 Tax @ $1.1207/sf,,,0,1,ESFR,City,86,42.0841597,-71.4340307
580 Fort Pond Rd,,B,Existing,486820,486820,$8.99 - 10.98 (Est.),Distribution,Lancaster,100.00,1994,,486820,0.41,"34'0""",40'w x 37'd,26,3000a/480v 3p,,Yes,,,486820,0,"1/12'0""w x 14'0""h",ESFR,Well,200,42.5194885,-71.6744272
241 Francis Ave,Bldg 1,A,Existing,352340,216565,$8.59 - 10.50 (Est.),Warehouse,Mansfield,100.00,1974,,352340,0.60,"32'0""",40'w x 70'd,21,3000a 3p,CSX,City,,,216565,0,"3/18'0""w x 18'0""h",ESFR,City,210,42.0393562,-71.2053339
15 Freedom Way,Northeast Logistics Center,A,Existing,260000,,$11.23 - 13.73 (Est.),Warehouse,Franklin,100.00,1993,,260000,0.67,"30'0""",48'w x 48'd,25,2000a/277-480v 3p 4w,,City,2025 Tax @ $0.7371/sf,,,0,"1/12'0""w x 14'0""h",ESFR,City,174,42.0517492,-71.3985475
