Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
5200 Glen Arm Rd,The Station at Glen Arm,B,Existing,220000,,$6.33 - 7.73 (Est.),Warehouse,Glen Arm,100.00,1960,,110000,0.50,"24'0""",65'w x 30'd,2,1-9999a/480v 3p,,,2024 Tax @ $0.0788/sf,,,68800,6,Wet,,238,39.4562735,-76.4966531
10131 Governor Lane Blvd,,B,Existing,327100,,$7.59 - 9.28 (Est.),Warehouse,Williamsport,100.00,1972,,327100,,,,,,,,2024 Tax @ $0.1988/sf,,,0,,,,,39.5926849,-77.8032426
5245 Greenbelt Rd,Severn Building,B,Existing,326000,,$11.65 - 14.24 (Est.),Distribution,College Park,100.00,1998,,326000,0.31,"42'0""",,22,,,,,,,0,3,Yes,,100,38.9965700,-76.9222906
400 Hahn Rd,,B,Existing,360000,,$8.82 - 10.78 (Est.),Warehouse,Westminster,100.00,1979,,360000,0.08,"22'0""",36'w x 54'd,,440v 3p,,City,2025 Tax @ $0.1795/sf,,,0,None,,City,80,39.5871352,-76.9801565
3800 Hampstead Mexico Rd,Fuchs North America,B,Existing,210000,,$8.82 - 10.78 (Est.),Warehouse,Hampstead,100.00,2016,,210000,,,,,,,,2025 Tax @ $1.2863/sf,,,0,,,,141,39.6134856,-76.8601473
500 Hanover Pike,Jos. A. Bank,C,Existing,210000,,$8.82 - 10.78 (Est.),Warehouse,Hampstead,100.00,1970,,210000,0.95,"26'0""",,6,,,,2025 Tax @ $0.4367/sf,,,0,4,Wet,,200,39.5879977,-76.8449583
1350 Hanover Rd,BWI Logistics Center,A,Under Construction,221000,221000,$6.31 - 7.71 (Est.),Distribution,Hanover,0.00,2027,,221000,0.82,"36'0""",54'w x 50'd,40,,,,,,221000,0,2,ESFR,,207,39.1873581,-76.7138857
1 Hargrove Dr,Hargrove Inc.,B,Existing,325850,,$11.55 - 14.11 (Est.),Warehouse,Lanham,100.00,1965,,162925,0.66,"31'0""",,26,,,City,2024 Tax @ $1.2579/sf,,,0,4,Wet,City,214,38.9497031,-76.8438664
500 Hickory Dr,,A,Existing,470019,,$8.27 - 10.11 (Est.),Warehouse,Aberdeen,100.00,1997,,470019,1.28,"32'0""",50'w x 50'd,54,Heavy,,City,2025 Tax @ $0.4714/sf,,,0,1,ESFR,City,602,39.4965879,-76.1841836
600 Hickory Dr,Hickory Ridge,A,Existing,205030,,$6.70 - 8.18 (Est.),Warehouse,Aberdeen,100.00,2000,,205030,1.00,"32'0""",40'w x 40'd,46,1200a/277-480v 3p 4w,,City,2025 Tax @ $0.4175/sf,,,0,"5/12'0""w x 14'0""h",ESFR,City,205,39.4931798,-76.1893178
550 Highland St,Building A,A,Under Construction,256308,256308,$11.90 - 14.55 (Est.),Distribution,Frederick,0.00,2026,,256308,0.70,"36'0""",52'w,51,,,,2024 Tax @ $0.4232/sf,,256308,0,2,,,179,39.4153735,-77.3920621
1655 S Highland Ave,Bldg 1,C,Existing,219832,,$7.03 - 8.59 (Est.),Warehouse,Baltimore,100.00,1967,,219832,0.21,"40'0""",27'w x 75'd,,,,,2024 Tax @ $0.5379/sf,,,0,"2/10'0""w x 12'0""h",Dry,,40,39.2734734,-76.5675454
