Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
359 Ellington Rd,I-291 Logistics Center West,A,Existing,200000,,$8.12 - 9.92 (Est.),Distribution,South Windsor,100.00,2020,,200000,0.67,"32'0""",50'w x 50'd,40,3000a/480v 3p,,Yes,2024 Tax @ $2.6406/sf,,,0,"2/12'0""w x 12'0""h",ESFR,Yes,130,41.8059790,-72.6047420
21 Ethan Allen Rd,,C,Existing,376080,,$10.76 - 13.15 (Est.),Warehouse,Newtown,100.00,1997,,188040,,"30'0""",,7,,,City,2025 Tax @ $0.3941/sf,,,0,11,,City,,41.3808740,-73.2759290
14 Executive Dr,,B,Existing,279236,,$10.23 - 12.50 (Est.),Warehouse,Danbury,100.00,1969,,279236,,,,,,,,2025 Tax @ $0.9749/sf,,,0,,,,,41.4139720,-73.4172610
65-145 Furniture Row,,B,Existing,209802,,$6.90 - 8.43 (Est.),Warehouse,Milford,100.00,1965,1971,209802,0.25,"18'0""",,4,3100a 3p,,City,2025 Tax @ $0.0420/sf,,,0,,Wet,City,50,41.2275638,-73.0286969
175 Great Pond Dr,,A,Existing,239146,,$8.70 - 10.64 (Est.),Warehouse,Windsor,100.00,2010,,239146,,,,,,,,,,,0,None,,,,41.8733515,-72.7176112
170 Highland Park Dr,,C,Existing,449000,,$7.06 - 8.62 (Est.),Distribution,Bloomfield,100.00,1986,,449000,0.30,,48'w x 48'd,53,1500a/277-480v,,,2024 Tax @ $1.5502/sf,,,0,3,,,330,41.8637320,-72.7382320
130 Huntingdon Ave,,B,Existing,218000,,$7.05 - 8.61 (Est.),Warehouse,Waterbury,100.00,1964,1973,218000,0.37,"16'0""",27'w x 60'd,25,2000a/480v 3p,,City,2025 Tax @ $1.0655/sf,,,0,"4/12'0""w x 14'0""h",Wet,City,80,41.5740723,-73.0623143
21 Hyde Rd,,B,Existing,338687,,$6.65 - 8.13 (Est.),Distribution,Farmington,100.00,1985,,328000,0.95,"33'0""",36'w x 46'd,33,480a/270v,,Yes,,,,0,"2/10'0""w x 14'0""h",,Yes,250,41.7009430,-72.8541280
100 International Dr,,B,Existing,304200,,$8.70 - 10.64 (Est.),Distribution,Windsor,100.00,2009,,304200,0.49,"25'6""",,19,,,,2024 Tax @ $1.4245/sf,,,0,None,,,150,41.9178827,-72.7240610
90 Ivy Brook Rd,,B,Existing,250000,,$10.13 - 12.38 (Est.),Warehouse,Shelton,100.00,2007,,50617,,,,,,,,,,,0,,,,,41.2891662,-73.0857235
1 John St,,C,Existing,360000,200000,$5.52 - 6.75 (Est.),Distribution,Clinton,44.44,1920,,360000,0.97,"18'0""",,12,,,,2025 Tax @ $0.1902/sf,,200000,200000,"9/12'0""w x 12'0""h",,,350,41.2807090,-72.5300960
1640 John Fitch Blvd,,A,Existing,257000,,$4.88 - 5.96 (Est.),Distribution,South Windsor,100.00,1970,1987,257000,0.41,"16'6""",40'w x 40'd,96,800-2000a/277-480v 3p,,City,2024 Tax @ $0.6602/sf,,,0,32,ESFR,City,100,41.8521650,-72.5976980
1100 Kennedy Rd,,B,Existing,256000,,$8.70 - 10.64 (Est.),Warehouse,Windsor,100.00,1975,,256000,0.27,"40'0""",,8,,,,2024 Tax @ $0.9600/sf,,,0,"2/10'0""w x 10'0""h",,,60,41.8953360,-72.6494730
1190 Kennedy Rd,Bldg 1,A,Existing,268800,,$8.70 - 10.64 (Est.),Distribution,Windsor,100.00,2022,,268800,0.54,"32'0""",50'w x 45'd,79,,,,2024 Tax @ $3.9980/sf,,,0,2,ESFR,,145,41.8989710,-72.6497589
260 Lake Rd,,B,Existing,341498,,$5.82 - 7.12 (Est.),Distribution,Dayville,100.00,1989,,341498,0.64,,,38,,,,2025 Tax @ $0.6829/sf,,,0,None,,,220,41.8631636,-71.9069606
349 Lake Rd,,B,Existing,211836,,$5.62 - 6.87 (Est.),Warehouse,Killingly,100.00,1978,,211836,1.20,"17'0""",30'w x 50'd,12,1300a/240v 3p,,,2025 Tax @ $0.9666/sf,,,0,"2/12'0""w x 14'0""h",Wet,,255,41.8675988,-71.9010592
10 Leighton Rd,,C,Existing,280105,,$8.07 - 9.87 (Est.),Warehouse,Milford,100.00,1960,,280105,,,,,,,,2025 Tax @ $1.3406/sf,,,0,,,,,41.2313575,-73.0390102
255 Long Beach Blvd,,B,Existing,409375,,$9.99 - 12.22 (Est.),Warehouse,Stratford,100.00,1970,,388908,4.00,"24'0""",,22,400a,,City,2025 Tax @ $1.0311/sf,,,0,"6/10'0""w x 12'0""h",Wet,City,100,41.1658260,-73.1502738
495 Lordship Blvd,,A,Existing,368000,,$10.62 - 12.98 (Est.),Warehouse,Stratford,100.00,2021,,368000,0.71,"49'0""",50'w,59,,CSX,,2025 Tax @ $1.3535/sf,,,0,,ESFR,,258,41.1689124,-73.1523759
825 Lordship Blvd,,A,Existing,225198,,$10.96 - 13.39 (Est.),Distribution,Stratford,100.00,2015,,225198,0.33,"35'0""",,61,,,,,,,0,"7/12'0""w x 12'0""h",,,75,41.1652913,-73.1466887
555 Main St,,C,Existing,213174,,$14.01 - 17.13 (Est.),Warehouse,Stamford,100.00,1971,,31265,,,,,,,,2024 Tax @ $0.8687/sf,,,0,None,,,100,41.0535810,-73.5354163
235 E Main St,,C,Existing,200000,,$7.97 - 9.74 (Est.),Warehouse,Thomaston,100.00,1960,,161767,,"18'0""",,3,200a,,,2025 Tax @ $0.1005/sf,,,0,Yes,,,,41.6745006,-73.0676486
135 S Main St,,B,Existing,350000,30157,$7.97 - 9.74 (Est.),Warehouse,Thomaston,100.00,1900,,62000,0.65,"12'0""",,,600a/440v,,Yes,2025 Tax @ $0.2700/sf,,30157,0,None,Wet,Yes,250,41.6696294,-73.0769447
35 Manning Rd,Enfield Distribution Center,C,Existing,236880,,$5.18 - 6.33 (Est.),Distribution,Enfield,100.00,1972,2017,235000,0.12,"23'0""",35'w x 35'd,23,600a/480v,,City,2025 Tax @ $0.5381/sf,,,0,1,ESFR,City,50,42.0154541,-72.5992089
113 N Maple St,Winstanley Logistics Center,A,Existing,500000,65000,$8.06 - 9.86 (Est.),Distribution,Enfield,100.00,2022,,500000,0.60,"33'0""",50'w x 50'd,60,3000a/277-480v 3p,,City,2025 Tax @ $1.7877/sf,,0,0,"2/10'0""w x 14'0""h",ESFR,City,300,41.9988770,-72.5432491
550 Marshall Phelps Rd,,B,Existing,226429,,$7.27 - 8.89 (Est.),Warehouse,Windsor,100.00,1982,,226429,1.10,"27'0""",36'w x 36'd,8,2500a/277-480v 3p,,,2024 Tax @ $0.6685/sf,,,0,"1/10'0""w x 14'0""h",Wet,,250,41.8788160,-72.6885110
641 Middle St,,B,Existing,200000,,$9.82 - 12.00 (Est.),Distribution,Middletown,100.00,2013,,200000,1.20,"30'0""",50'w x 50'd,40,1600a/480v 3p,,Yes,2024 Tax @ $1.9098/sf,,,0,,ESFR,Yes,275,41.5865491,-72.7230672
535 Migeon Ave,,B,Existing,225000,,$6.05 - 7.39 (Est.),Warehouse,Torrington,100.00,1993,,225000,,"30'0""",,1,1500a,,City,2025 Tax @ $0.1620/sf,,,0,2,Yes,City,,41.8126264,-73.1335827
360 Minor St,,C,Existing,206230,,$5.82 - 7.11 (Est.),Distribution,Bristol,100.00,1985,,206230,0.24,"22'0""",40'w x 40'd,12,800a/480v 3p,,City,2025 Tax @ $0.3898/sf,,,0,2,Wet,City,114,41.6918928,-72.9874099
351 Morgan Ln,,B,Existing,213866,,$9.16 - 11.20 (Est.),Warehouse,West Haven,100.00,1962,,210159,0.49,"20'0""",30'w x 40'd,10,6000a/240v,CSX,City,2025 Tax @ $0.7695/sf,,,0,"4/15'0""w x 20'0""h",Wet,City,104,41.2608853,-72.9833918
300 Myrtle St,,C,Existing,363670,,$7.44 - 9.09 (Est.),Warehouse,New Britain,100.00,1930,,109026,0.41,,,6,,,,2025 Tax @ $0.1333/sf,,,0,"1/8'0""w x 8'0""h",,,150,41.6694290,-72.7924040
10 Norden Pl,Norden Logistics Center,A,Existing,320337,,$12.18 - 14.89 (Est.),Warehouse,Norwalk,100.00,1964,2020,197563,1.64,"18'0""",30'w,19,400a/600v,,Yes,2025 Tax @ $1.4085/sf,,,0,6,Wet,Yes,525,41.1117866,-73.3916706
34 Northwest Dr,Ahold Delhaize,B,Existing,300000,,$9.01 - 11.01 (Est.),Distribution,Plainville,100.00,2022,,300000,,,,1,,,Yes,,,,0,1,,Yes,,41.6936042,-72.8590194
64 Oakland Ave,,C,Existing,474000,,$4.84 - 5.92 (Est.),Distribution,East Hartford,100.00,1955,,474000,0.92,"28'0""",,19,1400a/240v 3p,,City,,,,0,"2/14'0""w x 16'0""h",Dry,City,440,41.7825170,-72.6307430
110 Old County Cir,,B,Existing,226695,,$7.08 - 8.66 (Est.),Distribution,Windsor Locks,100.00,2004,,226695,0.48,"32'0""",50'w x 50'd,14,2000a/277-480v 3p,,City,2024 Tax @ $1.0087/sf,,,0,"1/10'0""w x 12'0""h",ESFR,City,108,41.9136809,-72.6606042
140 Old County Cir,,A,Existing,268497,,$7.37 - 9.01 (Est.),Warehouse,Windsor Locks,100.00,2006,,268497,0.39,"31'0""",50'w x 70'd,33,4200a,,,2024 Tax @ $2.2112/sf,,,0,"6/20'0""w x 14'0""h",ESFR,,198,41.9122037,-72.6662848
555 Old County Rd,,A,Existing,397687,,$7.37 - 9.01 (Est.),Distribution,Windsor Locks,100.00,1983,,397687,0.27,"33'0""",,37,,,,2024 Tax @ $1.0149/sf,,,0,"5/12'0""w x 14'0""h",Wet,,110,41.9088217,-72.6587826
265 Old Gate Ln,,C,Existing,201095,201095,$9.27 - 11.32 (Est.),Warehouse,Milford,0.00,1965,,201095,1.08,"21'0""",,12,3000a,,City,2024 Tax @ $0.1815/sf,,201095,201095,2,Yes,City,200,41.2317661,-73.0246067
8-24 Old Sherman Tpke,,C,Existing,296516,,$10.57 - 12.91 (Est.),Distribution,Danbury,100.00,1972,1975,149224,,"22'0""",,10,,,,2025 Tax @ $4.2848/sf,,,0,,,,,41.4113023,-73.4055586
122 Park Ave,,B,Existing,200526,,$4.32 - 5.28 (Est.),Distribution,East Hartford,100.00,1945,,200000,1.50,,,21,,,Yes,2025 Tax @ $0.1042/sf,,,0,"5/12'0""w x 14'0""h",,City,300,41.7803787,-72.6311898
40 Pepes Farm Rd,Thule,B,Existing,200000,,$8.52 - 10.41 (Est.),Distribution,Milford,100.00,1980,,200000,0.45,"28'0""",40'w x 40'd,18,600a/277-480v,,City,,,,0,"1/12'0""w x 12'0""h",Wet,City,90,41.2298145,-73.0232994
107 Phoenix Ave,,C,Existing,372437,,$7.84 - 9.58 (Est.),Warehouse,Enfield,100.00,1972,,372437,0.95,,,47,,,,2025 Tax @ $0.6906/sf,,,0,None,,,360,41.9728370,-72.5812860
200 Pond View Dr,,,Existing,339844,,$5.48 - 6.69 (Est.),Warehouse,Meriden,100.00,1998,,339844,,"24'0""",,2,480v 3p,,,2024 Tax @ $2.1215/sf,,,0,"1/14'0""w x 14'0""h",Wet,,,41.5079527,-72.7609683
105 Progress Ln,,C,Existing,200000,,$7.24 - 8.85 (Est.),Warehouse,Waterbury,100.00,1979,,200000,2.50,"24'0""",31'w x 20'd,30,6000a/220-480v 3p,,City,2024 Tax @ $1.3145/sf,,,0,1,Wet,City,500,41.5329464,-72.9732046
125 Railroad Ave,Building 4,B,Existing,225700,,$8.30 - 10.15 (Est.),Warehouse,Beacon Falls,100.00,1985,,225700,0.34,"24'0""",,15,,,,2025 Tax @ $0.0216/sf,,,0,1,,,40,41.4331457,-73.0638994
210 Redstone Hill Rd,,C,Existing,260000,,$8.23 - 10.06 (Est.),Warehouse,Bristol,100.00,1963,,260000,0.96,"17'8""",,4,,,,2025 Tax @ $0.5315/sf,,,0,"1/8'0""w x 12'0""h",,,250,41.6564930,-72.9067710
25 Research Pky,Medway Distribution Center,B,Existing,202500,,$8.89 - 10.87 (Est.),Warehouse,Wallingford,100.00,1998,,202500,1.00,"30'0""",50'w x 56'd,29,2000a/277-480v 3p,,City,2025 Tax @ $1.5713/sf,,,0,"5/12'0""w x 14'0""h",ESFR,City,203,41.4948660,-72.7628550
931 Route 32,,C,Existing,345000,,$5.95 - 7.27 (Est.),Warehouse,North Franklin,100.00,1977,1989,345000,0.56,"22'0""",,5,3000a/277-480v 3p 4w,,Septic Field,2025 Tax @ $0.0577/sf,,,0,3,,Well,173,41.6543296,-72.1514034
6 Rubber Ave,,B,Existing,400000,,$7.06 - 8.62 (Est.),Warehouse,Naugatuck,100.00,1970,,82888,,"14'0""",,9,1850a,,City,,,,0,2,,City,,41.4864627,-73.0550263
50 School House Rd,,C,Existing,292857,,$6.91 - 8.45 (Est.),Warehouse,Old Saybrook,100.00,1960,1986,292857,1.02,"25'0""",28'w x 40'd,9,9000a/480v 3p,,Septic Field,2025 Tax @ $0.2452/sf,,,0,1,Wet,City,300,41.2904652,-72.4013879
