Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
501 10th Ave,,C,Existing,250002,250002,$13.44 - 16.43 (Est.),Distribution,New York,0.00,1910,2015,35715,,,,9,4000a/208v 3p 4w,,,2024 Tax @ $8.1997/sf,,250002,250002,,Yes,,,40.7576446,-73.9974827
683 Court St,Red Hook Logistics Center,A,Existing,385510,258966,$17.85 - 21.82 (Est.),Warehouse,Brooklyn,32.83,2024,,96378,0.00,"28'0""",38'w x 50'd,19,2000a,,,2024 Tax @ $0.6573/sf,,258966,258966,8,ESFR,,,40.6685400,-74.0030817
125 S Greenbush Rd,Worldwide Industrial Park,B,Existing,341000,52000,$12.11 - 14.80 (Est.),Warehouse,Orangeburg,84.75,1964,1997,341000,0.87,"20'0""",30'w x 45'd,4,3000a/110-480v 3p,,City,,,52000,52000,4,Wet,City,260,41.0513583,-73.9433935
236-276 Greenpoint Ave,Greenpoint Industrial Center,C,Existing,395000,44800,$16.24 - 19.85 (Est.),Warehouse,Brooklyn,91.95,1931,1995,48333,,"15'0""",,5,Heavy,,,,,44800,31800,1,Wet,,,40.7303930,-73.9490340
50 Hartz Way,,C,Existing,265457,235295,$13.77 - 16.83 (Est.),Warehouse,Secaucus,100.00,1972,,117648,0.58,"27'0""",45'w x 40'd,15,1600a/277-480v 3p,,,2024 Tax @ $2.0042/sf,,235295,0,"2/12'0""w x 16'0""h",,,136,40.7825875,-74.0726798
145 Industrial Dr,Liberty Commerce Center,A,Existing,426275,426275,$13.59 - 16.61 (Est.),Warehouse,Jersey City,0.00,2025,,426275,0.52,"42'0""",,67,4000a/277-480v 3p,,,,,426275,426275,6,ESFR,,326,40.6827867,-74.0910762
45 Linden Ave E,,B,Existing,262865,191401,$10.74 - 13.13 (Est.),Warehouse,Jersey City,27.19,1978,,262865,0.38,"20'0""",40'w x 30'd,17,1600a/277-480v 3p,,City,2024 Tax @ $1.0592/sf,,191401,191401,2,Wet,City,100,40.6900236,-74.0841470
1 Lisbon St,,B,Existing,235215,,$12.18 - 14.88 (Est.),Distribution,Clifton,0.00,1955,2016,235215,0.67,"26'0""",,20,5000a 3p 4w,,City,2024 Tax @ $1.8034/sf,,,235215,4,Wet,City,158,40.8623112,-74.1504586
1000 MacArthur Blvd,,A,Existing,208345,161281,$13.23 - 16.17 (Est.),Distribution,Mahwah,77.24,2023,,208345,1.19,"38'0""",52'w x 60'd,34,1200a,,,2024 Tax @ $1.4432/sf,,47429,47429,2,ESFR,,264,41.0769439,-74.1659700
1200 Madison Ave,,B,Existing,246714,106521,$12.17 - 14.88 (Est.),Warehouse,Paterson,56.82,1968,,245529,2.52,"30'0""",44'w x 39'd,17,1200-2000a/277-480v 3p,Norfolk Southern,City,2024 Tax @ $3.1745/sf,,106521,106521,"5/14'0""w x 14'0""h",Wet,City,400,40.9010392,-74.1609299
