Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
184 Tuckerton Rd,Route 61 Distribution Center,A,Existing,392030,,$6.67 - 8.15 (Est.),Distribution,Reading,100.00,1966,2000,392030,0.61,"25'6""",33'w x 36'd,60,3000a/277-480v 3p,,City,2025 Tax @ $0.4230/sf,,,0,5,Yes,City,240,40.4011229,-75.9406043
43 Valley View Business Park,,C,Existing,378111,,$5.88 - 7.19 (Est.),Warehouse,Jessup,100.00,,,378111,,,,,,,,2025 Tax @ $2.1015/sf,,,0,,,,,41.4577866,-75.5490459
1560 Van Buren Rd,Park 33 @ Lehigh Valley East Building 2,A,Existing,396025,,$7.57 - 9.26 (Est.),Distribution,Easton,100.00,2024,,396025,0.66,,,88,Heavy,,,2026 Tax @ $0.1182/sf,,,396025,4,,,320,40.7352200,-75.2787859
1900 S Washington Ave,The Elliott Bldg,B,Existing,480000,,$4.37 - 5.34 (Est.),Warehouse,Scranton,100.00,1942,,480000,,"42'0""",26'w x 50'd,20,,,City,,,,0,"2/18'0""w x 12'0""h",Dry,City,150,41.3895370,-75.6841310
2633 WCN Dr,Building 1,A,Existing,452574,250000,$5.96 - 7.28 (Est.),Distribution,Chambersburg,100.00,2018,,452574,0.04,"32'0""",,20,,,Yes,2025 Tax @ $0.3312/sf,,250000,0,,ESFR,Yes,41,39.9007069,-77.6706471
9611 West Hills Ct,West Hills Business Center - Building F,A,Existing,336000,,$7.57 - 9.26 (Est.),Warehouse,Kutztown,100.00,2017,,336000,0.40,"32'0""",52-60'w x 52'd,51,3000a/480v 3p 4w,,,,,,0,"2/12'0""w x 14'0""h",,,187,40.5823878,-75.6911884
1 Whitney Dr,,B,Existing,308413,,$6.81 - 8.32 (Est.),Warehouse,Harmony,100.00,,,308413,1.69,,,44,,,,2025 Tax @ $1.0295/sf,,,0,"2/9'0""w x 12'0""h",,,280,40.7997650,-80.1206050
1101 William Flynn Hwy,,C,Existing,317354,7200,$5.15 - 6.30 (Est.),Warehouse,Glenshaw,97.73,1980,2023,317354,,"20'0""",,12,1p,,,2024 Tax @ $0.2589/sf,,7200,7200,"1/10'0""w",,,,40.5208950,-79.9516135
800 Willowbrook Rd,Building B,A,Existing,453000,,$7.57 - 9.26 (Est.),Distribution,Northampton,100.00,2022,,453000,0.71,"36'0""",54'w x 60'd,90,3000a/480v 3p,,,2026 Tax @ $2.6382/sf,,,0,"4/12'0""w x 16'0""h",ESFR,,323,40.6634403,-75.4568509
1055 Woods Rd,United Business Park,A,Under Construction,409500,,$6.41 - 7.84 (Est.),Distribution,Shippensburg,100.00,2026,,409500,,"40'0""",,30,,,,2025 Tax @ $0.0031/sf,,,0,30,ESFR,,,40.0068812,-77.5377895
