Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
1500 Rahway Ave,,B,Existing,326741,12940,$15.00,Distribution,Avenel,96.04,1994,,326741,0.61,"29'6""",52'w x 44'd,37,2000a/277-480v 3p,,City,2024 Tax @ $0.0170/sf,,12940,12940,"1/10'0""w x 12'0""h",ESFR,City,261,40.5939942,-74.2654117
1 Truman Dr S,,B,Existing,369313,267365,$12.00,Warehouse,Edison,100.00,1978,,369313,0.75,"24'0""",40'w x 40'd,40,3000a/277-480v 3p 4w,,City,2024 Tax @ $1.3701/sf,,142365,0,"6/12'0""w x 14'0""h",Wet,City,306,40.5177750,-74.4173530
2701 Route 3 Way,Lincoln Crossing,B,Existing,335827,,$13.67 - 16.71 (Est.),Distribution,Secaucus,100.00,2022,,335827,1.86,"40'0""",40'w,55,3000a/480v,,,,,,0,2,,,405,40.7809452,-74.0496966
16 Applegate Dr,,B,Existing,480420,,$7.87 - 9.62 (Est.),Warehouse,Robbinsville,100.00,2008,,480420,0.23,"36'0""",,56,,,,,,,0,4,ESFR,,168,40.2022943,-74.5734979
200 Arlington Blvd,,A,Existing,302400,,$9.24 - 11.29 (Est.),Distribution,Logan Township,100.00,2017,,302400,1.26,"36'0""",54'w x 55'd,22,2500a,,,2024 Tax @ $1.0662/sf,,,0,"2/12'0""w x 14'0""h",ESFR,,455,39.7690155,-75.3339982
800 Arlington Blvd,,A,Existing,470109,,$9.28 - 11.34 (Est.),Warehouse,Swedesboro,100.00,1982,2008,470109,0.22,"30'0""",50'w x 50'd,74,1600a,,City,2024 Tax @ $0.9265/sf,,,0,"4/11'0""w x 13'0""h",ESFR,City,103,39.7737850,-75.3400919
4 Aurora Dr,,A,Existing,416000,60000,$11.73 - 14.33 (Est.),Warehouse,Cranbury,100.00,1998,,416000,0.24,"32'0""",40'w x 52'd,64,Heavy,,City,2024 Tax @ $0.6565/sf,,0,0,"1/12'0""w x 16'0""h",ESFR,City,100,40.3173867,-74.4998918
151 Benigno Blvd,,B,Existing,381890,,$6.53 - 7.98 (Est.),Distribution,Bellmawr,100.00,1962,1985,381890,0.59,"36'0""",,22,1200a/277-480v 3p,,County,2025 Tax @ $1.2823/sf,,,0,"3/8'0""w x 15'0""h",Wet,County,232,39.8623250,-75.0846406
421 Benigno Blvd,,C,Existing,300000,,$9.05 - 11.06 (Est.),Distribution,Bellmawr,100.00,1967,,300000,1.67,,,64,,,,,,,0,None,,,500,39.8606530,-75.0960010
2000 Bishop's Gate Blvd,,A,Existing,309250,,$10.36 - 12.66 (Est.),Distribution,Mount Laurel,100.00,1998,2019,309250,1.71,"30'0""",55'w x 50'd,35,3200a/480v 3p,,City,,,,157716,"2/12'0""w x 15'0""h",ESFR,City,553,39.9639968,-74.9076053
255 Blair Rd,,A,Existing,341500,,$12.42 - 15.18 (Est.),Warehouse,Avenel,100.00,2006,,341500,1.04,"36'0""",50'w,68,2000a,,,2024 Tax @ $1.6220/sf,,,0,2,,,356,40.5769514,-74.2578227
433 Blair Rd,,B,Existing,453070,,$12.16 - 14.87 (Est.),Warehouse,Avenel,100.00,1980,,453070,0.39,"39'0""",30'w x 40'd,60,277-280v 3p 4w,,City,2024 Tax @ $2.3103/sf,,,0,1,Wet,City,175,40.5908811,-74.2547875
2 Brick Plant Rd,SR-40,B,Existing,315000,,$11.33 - 13.85 (Est.),Warehouse,South River,100.00,1996,,315000,0.30,"28'0""",42'w x 40'd,25,800a,,City,2024 Tax @ $1.9112/sf,,,0,"1/14'0""w x 16'0""h",ESFR,City,96,40.4611850,-74.3974210
155 Broad St,,C,Existing,496584,,$12.66 - 15.47 (Est.),Warehouse,Carlstadt,100.00,1971,,260000,,,,,,,City,,,,0,None,,City,,40.8337315,-74.0808417
301 Broadway,,A,Existing,439015,,$13.56 - 16.57 (Est.),Warehouse,Jersey City,100.00,1945,2014,439015,0.21,"30'0""",30'w x 40'd,43,,,City,2024 Tax @ $2.2399/sf,,,0,4,Wet,City,219,40.7373504,-74.0834936
33 Brunswick Ave,,B,Existing,355000,,$10.40 - 12.71 (Est.),Warehouse,Edison,100.00,1970,,355000,1.00,"16'0""",,,,,,2024 Tax @ $1.2186/sf,,,0,"7/12'0""w x 14'0""h",,,50,40.5298920,-74.4041990
