Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
4263-4299 Carolina Ave,Building C,C,Existing,237155,27000,$8.19 - 10.01 (Est.),Distribution,Richmond,88.62,1976,1996,237155,0.25,"21'5""",40'w x 45'd,19,200-800a/460v 3p,,,2025 Tax @ $0.3646/sf,,27000,27000,"2/10'0""w x 14'0""h",ESFR,,60,37.5917633,-77.4092020
4300 Carolina Ave,,B,Existing,219981,,$7.58 - 9.27 (Est.),Distribution,Richmond,100.00,1985,,219981,1.95,"24'0""",40'w x 45'd,15,3700a/480v 3p,,County,2025 Tax @ $0.5378/sf,,,0,Yes,ESFR,County,428,37.5943500,-77.4138500
4401-4491 Carolina Ave,Buildings J & K,B,Existing,317400,,$7.88 - 9.63 (Est.),Distribution,Richmond,100.00,1988,,317400,0.29,"24'0""",30'w x 57'd,40,600-1200a/208-480v 3p,,,2025 Tax @ $0.2420/sf,,,0,"2/9'0""w x 10'0""h",ESFR,,91,37.5980083,-77.4126859
1416 Cary Ave,Globe Iron,B,Existing,310684,,$4.34 - 5.31 (Est.),Warehouse,Norfolk,100.00,1958,,310684,0.29,"28'0""",,,1200a/120-480v 3p,Norfolk Southern,Yes,2025 Tax @ $0.2056/sf,,,0,"6/20'0""w x 20'0""h",None,Yes,51,36.8593161,-76.2650681
4111-4307 Castlewood Rd,,B,Existing,237500,,$5.32 - 6.50 (Est.),Warehouse,Richmond,100.00,1985,,237500,,,,,,,,2025 Tax @ $0.4645/sf,,,0,None,,,,37.4685609,-77.4477610
10464 Cedar Ln,Cardinal South,A,Existing,260000,108940,$8.30 - 10.15 (Est.),Distribution,Glen Allen,58.10,2021,,260000,0.84,"32'0""",54'w x 50'd,62,1200a 3p,,,2025 Tax @ $0.6313/sf,,108940,108940,,ESFR,,275,37.6931693,-77.4688706
1006 Centerpoint Dr,,A,Existing,336960,,$7.18 - 8.77 (Est.),Distribution,Suffolk,100.00,2012,,336960,0.39,,,70,,,,2025 Tax @ $1.5356/sf,,,0,None,,,132,36.7166453,-76.6707417
1010 CenterPoint Dr,,A,Existing,357000,245712,$6.18 - 7.55 (Est.),Distribution,Suffolk,31.17,2015,,357000,0.51,"32'0""",53'w x 50'd,21,3p,,,2025 Tax @ $1.0582/sf,,245712,245712,1,ESFR,,182,36.7199741,-76.6722305
180 Centreport Pky,95 Distribution Center,A,Existing,486720,,$10.62 - 12.98 (Est.),Distribution,Fredericksburg,100.00,2021,,486720,1.17,"40'0""",50'w x 55'd,55,4000a/277-480v 3p,,,2024 Tax @ $1.0080/sf,,,0,5,ESFR,,724,38.3896487,-77.4520591
7501 Century Park Dr,,B,Existing,221120,,$12.32 - 15.06 (Est.),Distribution,Manassas,100.00,2008,,221120,,,,,,,,,,,0,None,,,237,38.7946563,-77.5447054
11050 Challenger Ct,,A,Existing,201668,,$12.76 - 15.59 (Est.),Warehouse,Manassas,100.00,2019,,100834,1.11,,,21,,,,2024 Tax @ $0.7867/sf,,,0,"2/10'0""w x 12'0""h",,,223,38.7477341,-77.5258384
815 Chapman Way,,C,Existing,261151,,$7.99 - 9.77 (Est.),Distribution,Newport News,100.00,1979,,261151,0.70,,,10,,CSX,,2026 Tax @ $0.7576/sf,,,0,"1/9'0""w x 10'0""h",,,182,37.1677110,-76.5333510
5401 City Line Rd,,B,Existing,297395,,$6.51 - 7.96 (Est.),Distribution,Newport News,100.00,1983,,297395,0.76,"36'0""",,34,Heavy,,,2026 Tax @ $0.7471/sf,,,0,None,,,225,37.0059870,-76.4141500
9601 Coach Rd,UPS,B,Existing,331000,,$5.32 - 6.50 (Est.),Distribution,Richmond,100.00,1981,,331000,4.43,,,,,,,2025 Tax @ $0.4895/sf,,,0,None,,,1074,37.4003534,-77.4105849
710 S College Ave,,C,Existing,247000,,$8.19 - 10.01 (Est.),Warehouse,Bluefield,100.00,1968,,247000,0.97,"22'0""",22'w,28,,,City,2025 Tax @ $0.0031/sf,,,0,4,Wet,City,228,37.2429978,-81.2658193
4701 Commerce Dr,,A,Existing,460875,,$5.32 - 6.50 (Est.),Distribution,Richmond,100.00,2018,,460875,0.55,"36'0""",54'w x 50'd,75,1500a/277-480v 3p,,,2025 Tax @ $1.1470/sf,,,0,"2/12'0""w x 14'0""h",ESFR,,251,37.4618220,-77.4295901
1401 Commerce Rd,Lucky Strike Industrial Park Buildings 1-4,C,Existing,250000,25000,$2.28 - 2.79 (Est.),Warehouse,Richmond,90.00,1940,,250000,0.10,"16'0""",,4,,,,2025 Tax @ $0.0625/sf,,25000,25000,None,Wet,,10,37.5109810,-77.4324330
4949 Commerce Rd,,A,Existing,462508,,$5.32 - 6.50 (Est.),Distribution,Richmond,100.00,2019,,462508,0.86,"36'0""",54'w x 50'd,76,1500a 3p,,,2025 Tax @ $1.1210/sf,,,0,"2/12'0""w x 14'0""h",ESFR,,533,37.4590398,-77.4292652
1000 Commerce Center Dr,Bacova II,B,Existing,337500,,$3.30 - 4.04 (Est.),Distribution,Covington,100.00,1996,,337500,0.92,"35'6""",50'w x 50'd,20,2000a/277-480v 3p 4w,,County,2025 Tax @ $0.1805/sf,,,0,"1/12'0""w x 14'0""h",ESFR,County,311,37.7939440,-79.8932386
1200 Court St,,A,Existing,228564,,$7.63 - 9.32 (Est.),Distribution,Portsmouth,100.00,1980,1987,228564,0.40,"30'0""",40'w x 40'd,21,2000a/480v 3p,,,2024 Tax @ $0.7233/sf,,,0,2,,,92,36.8287295,-76.3021374
1545 Crossways Blvd,Crossways Commerce Center I,A,Existing,348615,,$9.19 - 11.23 (Est.),Warehouse,Chesapeake,100.00,1970,1997,174308,1.19,"29'0""",99'w x 60'd,16,120-277a/480v,,,2024 Tax @ $0.9887/sf,,,0,"6/10'0""w x 12'0""h",Wet,,415,36.7782500,-76.2378840
3310 Deepwater Terminal Rd,,C,Existing,210500,,$5.83 - 7.12 (Est.),Warehouse,Richmond,100.00,1971,,105250,0.17,"20'9""",,5,,,,2025 Tax @ $0.2708/sf,,,0,,Wet,,36,37.4778653,-77.4285617
901 S Delphine Ave,,C,Existing,463473,,$4.91 - 6.00 (Est.),Warehouse,Waynesboro,100.00,1954,1980,463473,0.57,"37'9""",,15,4000a/277-480v 3p 4w,Norfolk Southern,City,2025 Tax @ $0.1897/sf,,,0,"2/12'0""w x 12'0""h",Wet,City,302,38.0554553,-78.8914380
1960 Diamond Hill Rd,Diamond Hill III,B,Existing,269290,200083,$9.28 - 11.35 (Est.),Distribution,Chesapeake,100.00,1974,,269290,,"29'0""",41'w x 36'd,20,200a/277-480v,Norfolk Southern,Yes,2024 Tax @ $0.6736/sf,,200083,0,"7/10'0""w x 12'0""h",ESFR,Yes,,36.7920401,-76.2658216
2600 Distribution Dr,Pad D,A,Existing,202560,,$8.22 - 10.05 (Est.),Distribution,Henrico,100.00,2018,,202560,0.92,"32'0""",,39,,,,2025 Tax @ $0.6240/sf,,,0,3,,,188,37.4781226,-77.3556016
2700 Distribution Dr,Building E,A,Existing,216000,,$8.39 - 10.25 (Est.),Distribution,Henrico,100.00,2017,,216000,0.97,"32'0""",50'w x 45'd,48,2000a 3p,,,2025 Tax @ $0.4926/sf,,,0,2,ESFR,,235,37.4762070,-77.3587178
4500 Early Rd,Building 1,A,Existing,357673,,$8.36 - 10.21 (Est.),Distribution,Harrisonburg,100.00,1996,,357673,0.79,"28'0""",40'w x 54'd,30,4300a 3p,,,2025 Tax @ $0.2818/sf,,,0,"2/12'0""w x 14'0""h",Wet,,285,38.3881538,-78.9105173
Earlysville Rd,,C,Existing,250000,,$7.52 - 9.20 (Est.),Warehouse,Earlysville,100.00,1960,,125000,,"20'0""",,,,,,2024 Tax @ $0.2987/sf,,,0,,,,,38.1436910,-78.4456560
32056 East Cir,,B,Existing,230000,,$2.73 - 3.34 (Est.),Warehouse,Boykins,100.00,1962,,230000,0.43,"20'0""",40'w,12,8000a/277-480v 3p 4w,,City,,,,0,1,Wet,County,100,36.5861992,-77.2038004
6295 Edsall Rd,Plaza 500 - Building A,C,Existing,474067,188740,$12.43 - 15.19 (Est.),Distribution,Alexandria,60.19,1973,1989,21250,2.06,"23'0""",40'w x 40'd,37,1200a,,,,,188740,188740,"12/12'0""w x 14'0""h",Wet,,1115,38.8021521,-77.1422847
